Actual Deterioration	Estimated Deterioration	Counts
0.2777777777777778	0.0	36
0.4049586776859504	0.2	121
0.5110132158590308	0.4	227
0.5625	0.6	144
0.6607142857142857	0.8	112
0.575	1.0	40
0.22857142857142856	0.0	35
0.3416666666666667	0.2	120
0.5471698113207547	0.4	212
0.5575757575757576	0.6	165
0.6407766990291263	0.8	103
0.6666666666666666	1.0	45
0.24324324324324326	0.0	37
0.3302752293577982	0.2	109
0.5618556701030928	0.4	194
0.518918918918919	0.6	185
0.66	0.8	100
0.6727272727272727	1.0	55
0.23684210526315788	0.0	38
0.39669421487603307	0.2	121
0.5265700483091788	0.4	207
0.5209580838323353	0.6	167
0.7064220183486238	0.8	109
0.6052631578947368	1.0	38
0.2564102564102564	0.0	39
0.35772357723577236	0.2	123
0.5628140703517588	0.4	199
0.5257142857142857	0.6	175
0.6633663366336634	0.8	101
0.6511627906976745	1.0	43
0.29545454545454547	0.0	44
0.37777777777777777	0.2	135
0.5458937198067633	0.4	207
0.5414012738853503	0.6	157
0.6666666666666666	0.8	90
0.6595744680851063	1.0	47
0.2631578947368421	0.0	38
0.4	0.2	130
0.526595744680851	0.4	188
0.558282208588957	0.6	163
0.6333333333333333	0.8	120
0.6097560975609756	1.0	41
0.3076923076923077	0.0	39
0.4065040650406504	0.2	123
0.52	0.4	200
0.5384615384615384	0.6	169
0.6388888888888888	0.8	108
0.6585365853658537	1.0	41
0.3333333333333333	0.0	42
0.3902439024390244	0.2	123
0.55	0.4	200
0.5059523809523809	0.6	168
0.6636363636363637	0.8	110
0.6216216216216216	1.0	37
0.29411764705882354	0.0	34
0.37815126050420167	0.2	119
0.538860103626943	0.4	193
0.5393258426966292	0.6	178
0.6037735849056604	0.8	106
0.68	1.0	50
0.28125	0.0	32
0.375	0.2	128
0.5445026178010471	0.4	191
0.5411764705882353	0.6	170
0.6347826086956522	0.8	115
0.6136363636363636	1.0	44
0.34375	0.0	32
0.39344262295081966	0.2	122
0.49748743718592964	0.4	199
0.5789473684210527	0.6	171
0.5871559633027523	0.8	109
0.6808510638297872	1.0	47
0.2564102564102564	0.0	39
0.39552238805970147	0.2	134
0.5566502463054187	0.4	203
0.5449101796407185	0.6	167
0.6235294117647059	0.8	85
0.6346153846153846	1.0	52
0.2553191489361702	0.0	47
0.3867924528301887	0.2	106
0.538860103626943	0.4	193
0.532258064516129	0.6	186
0.6568627450980392	0.8	102
0.6521739130434783	1.0	46
0.275	0.0	40
0.4015748031496063	0.2	127
0.5279187817258884	0.4	197
0.5722222222222222	0.6	180
0.6304347826086957	0.8	92
0.5909090909090909	1.0	44
0.2619047619047619	0.0	42
0.4098360655737705	0.2	122
0.5384615384615384	0.4	208
0.55	0.6	160
0.5871559633027523	0.8	109
0.717948717948718	1.0	39
0.3	0.0	40
0.37606837606837606	0.2	117
0.5238095238095238	0.4	189
0.5425531914893617	0.6	188
0.6701030927835051	0.8	97
0.6326530612244898	1.0	49
0.3125	0.0	32
0.42857142857142855	0.2	126
0.4950980392156863	0.4	204
0.5380116959064327	0.6	171
0.6666666666666666	0.8	108
0.6153846153846154	1.0	39
0.225	0.0	40
0.43243243243243246	0.2	111
0.5428571428571428	0.4	210
0.4880952380952381	0.6	168
0.660377358490566	0.8	106
0.6666666666666666	1.0	45
0.22727272727272727	0.0	44
0.45614035087719296	0.2	114
0.5125628140703518	0.4	199
0.5277777777777778	0.6	180
0.67	0.8	100
0.627906976744186	1.0	43
0.2631578947368421	0.0	38
0.3828125	0.2	128
0.49748743718592964	0.4	199
0.5771428571428572	0.6	175
0.6818181818181818	0.8	88
0.6538461538461539	1.0	52
0.2857142857142857	0.0	35
0.36585365853658536	0.2	123
0.5637254901960784	0.4	204
0.5254237288135594	0.6	177
0.6435643564356436	0.8	101
0.625	1.0	40
0.2647058823529412	0.0	34
0.3983050847457627	0.2	118
0.502262443438914	0.4	221
0.5365853658536586	0.6	164
0.7238095238095238	0.8	105
0.5789473684210527	1.0	38
0.2647058823529412	0.0	34
0.42857142857142855	0.2	133
0.5	0.4	196
0.5494505494505495	0.6	182
0.6836734693877551	0.8	98
0.5945945945945946	1.0	37
0.29411764705882354	0.0	34
0.41044776119402987	0.2	134
0.49214659685863876	0.4	191
0.5755813953488372	0.6	172
0.6415094339622641	0.8	106
0.627906976744186	1.0	43
0.32608695652173914	0.0	46
0.4016393442622951	0.2	122
0.5482233502538071	0.4	197
0.5485714285714286	0.6	175
0.63	0.8	100
0.55	1.0	40
0.2647058823529412	0.0	34
0.3739130434782609	0.2	115
0.53	0.4	200
0.5222222222222223	0.6	180
0.6851851851851852	0.8	108
0.627906976744186	1.0	43
0.23684210526315788	0.0	38
0.4140625	0.2	128
0.5380952380952381	0.4	210
0.514792899408284	0.6	169
0.6842105263157895	0.8	95
0.65	1.0	40
0.28125	0.0	32
0.3389830508474576	0.2	118
0.526829268292683	0.4	205
0.5542857142857143	0.6	175
0.6728971962616822	0.8	107
0.627906976744186	1.0	43
0.3488372093023256	0.0	43
0.3706896551724138	0.2	116
0.525	0.4	200
0.5485714285714286	0.6	175
0.6470588235294118	0.8	102
0.6363636363636364	1.0	44
0.2857142857142857	0.0	42
0.4017094017094017	0.2	117
0.49746192893401014	0.4	197
0.5535714285714286	0.6	168
0.6666666666666666	0.8	105
0.6470588235294118	1.0	51
0.25	0.0	28
0.3821138211382114	0.2	123
0.5396039603960396	0.4	202
0.5251396648044693	0.6	179
0.6635514018691588	0.8	107
0.6097560975609756	1.0	41
0.2	0.0	35
0.4262295081967213	0.2	122
0.5233644859813084	0.4	214
0.5460122699386503	0.6	163
0.6601941747572816	0.8	103
0.5813953488372093	1.0	43
0.2631578947368421	0.0	38
0.4396551724137931	0.2	116
0.5047619047619047	0.4	210
0.509090909090909	0.6	165
0.6666666666666666	0.8	111
0.7	1.0	40
0.25	0.0	32
0.41044776119402987	0.2	134
0.5098039215686274	0.4	204
0.5411764705882353	0.6	170
0.6862745098039216	0.8	102
0.631578947368421	1.0	38
0.3611111111111111	0.0	36
0.3524590163934426	0.2	122
0.54	0.4	200
0.5416666666666666	0.6	168
0.6379310344827587	0.8	116
0.631578947368421	1.0	38
0.25	0.0	36
0.3939393939393939	0.2	132
0.5665024630541872	0.4	203
0.4909090909090909	0.6	165
0.6574074074074074	0.8	108
0.6944444444444444	1.0	36
0.27586206896551724	0.0	29
0.4166666666666667	0.2	120
0.5119617224880383	0.4	209
0.5549132947976878	0.6	173
0.6346153846153846	0.8	104
0.5777777777777777	1.0	45
0.20588235294117646	0.0	34
0.448	0.2	125
0.5098039215686274	0.4	204
0.5470588235294118	0.6	170
0.61	0.8	100
0.6808510638297872	1.0	47
0.25	0.0	44
0.42657342657342656	0.2	143
0.5685279187817259	0.4	197
0.525	0.6	160
0.6326530612244898	0.8	98
0.6052631578947368	1.0	38
0.2727272727272727	0.0	33
0.3898305084745763	0.2	118
0.4793814432989691	0.4	194
0.5736842105263158	0.6	190
0.6907216494845361	0.8	97
0.6041666666666666	1.0	48
0.2926829268292683	0.0	41
0.4015151515151515	0.2	132
0.5	0.4	212
0.538961038961039	0.6	154
0.7340425531914894	0.8	94
0.6382978723404256	1.0	47
