n_neighbors	distance	std	sepsis_auc	sepsis_recall	sepsis_precision
1	1.916979132417387	0.6597023210262064	0.6021711366538952	0.7413793103448276	0.7478260869565218
5	2.218078097502207	0.7095810178965688	0.684840956257982	0.8362068965517241	0.7637795275590551
10	2.3947894713593687	0.7759460800913934	0.7050456976372925	0.7931034482758621	0.7650727650727651
15	2.5087002173684776	0.8237606281008296	0.7217782167943806	0.896551724137931	0.7509025270758123
20	2.594580749542043	0.8576283904424931	0.7268318965517242	0.8879310344827587	0.762962962962963
25	2.6639413288945084	0.8835998415893529	0.721189535440613	0.9073275862068966	0.7373029772329247
30	2.7228684439652473	0.9049808672723464	0.7399724616858238	0.915948275862069	0.7495590828924162
50	2.899473971296802	0.9651907656562079	0.7563557630906769	0.9461206896551724	0.7256198347107438
100	3.169726566654013	1.0350262964726027	0.7438537675606642	0.9870689655172413	0.698170731707317
200	3.494360448449159	1.079516548240623	0.7364353847381864	1.0	0.6823529411764706
300	3.7313454095811442	1.0913681224088945	0.7316261574074074	1.0	0.6823529411764706
400	3.94181396146863	1.0917822119344365	0.7410899584929758	1.0	0.6823529411764706
500	4.15271038193965	1.085300797868234	0.7165748722860793	1.0	0.6823529411764706
600	4.392554053791935	1.0720509348932181	0.6996976772030652	1.0	0.6823529411764706
