Actual Infection	Estimated Infection	Counts
0.0	0.1	3
0.3333333333333333	0.2	9
0.42857142857142855	0.3	35
0.6212121212121212	0.4	66
0.6477272727272727	0.5	88
0.7	0.6	100
0.6074074074074074	0.7	135
0.6880733944954128	0.8	109
0.8484848484848485	0.9	99
0.8333333333333334	1.0	36
0.0	0.1	3
0.5714285714285714	0.2	7
0.48	0.3	25
0.5342465753424658	0.4	73
0.6395348837209303	0.5	86
0.6206896551724138	0.6	116
0.6944444444444444	0.7	108
0.7238805970149254	0.8	134
0.8163265306122449	0.9	98
0.7666666666666667	1.0	30
0.0	0.1	4
0.6	0.2	10
0.5217391304347826	0.3	46
0.5967741935483871	0.4	62
0.6105263157894737	0.5	95
0.6869565217391305	0.6	115
0.5891472868217055	0.7	129
0.8050847457627118	0.8	118
0.8333333333333334	0.9	78
0.7391304347826086	1.0	23
0.0	0.1	2
0.4	0.2	10
0.45161290322580644	0.3	31
0.5740740740740741	0.4	54
0.63	0.5	100
0.6728971962616822	0.6	107
0.6511627906976745	0.7	129
0.7024793388429752	0.8	121
0.8369565217391305	0.9	92
0.7941176470588235	1.0	34
0.25	0.1	4
0.5	0.2	12
0.4230769230769231	0.3	26
0.5555555555555556	0.4	72
0.6767676767676768	0.5	99
0.6126126126126126	0.6	111
0.672566371681416	0.7	113
0.7131782945736435	0.8	129
0.8488372093023255	0.9	86
0.8214285714285714	1.0	28
0.0	0.1	2
0.3333333333333333	0.2	9
0.48717948717948717	0.3	39
0.6190476190476191	0.4	63
0.62	0.5	100
0.6434782608695652	0.6	115
0.6052631578947368	0.7	114
0.7786885245901639	0.8	122
0.8255813953488372	0.9	86
0.8333333333333334	1.0	30
0.0	0.1	4
0.625	0.2	8
0.4594594594594595	0.3	37
0.546875	0.4	64
0.7209302325581395	0.5	86
0.6078431372549019	0.6	102
0.640625	0.7	128
0.696969696969697	0.8	132
0.8764044943820225	0.9	89
0.8	1.0	30
0.0	0.0	1
0.0	0.1	1
0.35294117647058826	0.2	17
0.5555555555555556	0.3	27
0.5789473684210527	0.4	57
0.6504854368932039	0.5	103
0.6371681415929203	0.6	113
0.6324786324786325	0.7	117
0.765625	0.8	128
0.8131868131868132	0.9	91
0.72	1.0	25
0.0	0.1	3
0.2	0.2	10
0.5	0.3	34
0.6129032258064516	0.4	62
0.6792452830188679	0.5	106
0.6283185840707964	0.6	113
0.626984126984127	0.7	126
0.7477477477477478	0.8	111
0.8372093023255814	0.9	86
0.7931034482758621	1.0	29
0.0	0.1	3
0.23076923076923078	0.2	13
0.6285714285714286	0.3	35
0.5789473684210527	0.4	57
0.6491228070175439	0.5	114
0.6173913043478261	0.6	115
0.6428571428571429	0.7	126
0.7815126050420168	0.8	119
0.84	0.9	75
