Actual Mortality (30-Day)	Estimated Mortality (30-Day)	Counts
0.08764940239043825	0.0	502
0.1773049645390071	0.2	141
0.32	0.4	25
0.5	0.6	8
0.75	0.8	4
0.07867494824016563	0.0	483
0.1858974358974359	0.2	156
0.3103448275862069	0.4	29
0.75	0.6	8
0.5	0.8	4
0.0736196319018405	0.0	489
0.2191780821917808	0.2	146
0.2777777777777778	0.4	36
0.8	0.6	5
0.5	0.8	4
0.08057851239669421	0.0	484
0.16447368421052633	0.2	152
0.4411764705882353	0.4	34
0.4444444444444444	0.6	9
1.0	0.8	1
0.07910750507099391	0.0	493
0.19858156028368795	0.2	141
0.2727272727272727	0.4	33
0.5454545454545454	0.6	11
1.0	0.8	2
0.08163265306122448	0.0	490
0.19480519480519481	0.2	154
0.24	0.4	25
0.6666666666666666	0.6	9
1.0	0.8	1
1.0	1.0	1
0.08383233532934131	0.0	501
0.16551724137931034	0.2	145
0.5217391304347826	0.4	23
0.5	0.6	8
0.6666666666666666	0.8	3
0.07770961145194274	0.0	489
0.20270270270270271	0.2	148
0.29411764705882354	0.4	34
0.6666666666666666	0.6	6
0.6666666666666666	0.8	3
0.08806262230919765	0.0	511
0.16666666666666666	0.2	132
0.4074074074074074	0.4	27
0.5714285714285714	0.6	7
0.6666666666666666	0.8	3
0.08080808080808081	0.0	495
0.1702127659574468	0.2	141
0.3939393939393939	0.4	33
0.625	0.6	8
0.6666666666666666	0.8	3
0.0781563126252505	0.0	499
0.2076923076923077	0.2	130
0.2564102564102564	0.4	39
0.6	0.6	10
1.0	0.8	2
0.08349900596421471	0.0	503
0.18045112781954886	0.2	133
0.3333333333333333	0.4	30
0.5	0.6	10
0.75	0.8	4
0.08686868686868687	0.0	495
0.17006802721088435	0.2	147
0.38461538461538464	0.4	26
0.5	0.6	12
0.0823045267489712	0.0	486
0.18	0.2	150
0.3235294117647059	0.4	34
0.5555555555555556	0.6	9
1.0	0.8	1
0.08151093439363817	0.0	503
0.21428571428571427	0.2	140
0.21428571428571427	0.4	28
0.7142857142857143	0.6	7
1.0	0.8	2
0.07784431137724551	0.0	501
0.2127659574468085	0.2	141
0.2962962962962963	0.4	27
0.6666666666666666	0.6	9
0.5	0.8	2
0.08041237113402062	0.0	485
0.1780821917808219	0.2	146
0.32432432432432434	0.4	37
0.5454545454545454	0.6	11
1.0	0.8	1
0.08266129032258064	0.0	496
0.17985611510791366	0.2	139
0.3235294117647059	0.4	34
0.5714285714285714	0.6	7
0.75	0.8	4
0.0860655737704918	0.0	488
0.1513157894736842	0.2	152
0.4	0.4	30
0.7142857142857143	0.6	7
0.6666666666666666	0.8	3
0.0841683366733467	0.0	499
0.1958041958041958	0.2	143
0.25925925925925924	0.4	27
0.6666666666666666	0.6	9
0.5	0.8	2
0.07738095238095238	0.0	504
0.21014492753623187	0.2	138
0.3333333333333333	0.4	27
0.625	0.6	8
0.6666666666666666	0.8	3
0.08582834331337326	0.0	501
0.16417910447761194	0.2	134
0.37142857142857144	0.4	35
0.7142857142857143	0.6	7
0.3333333333333333	0.8	3
0.08041237113402062	0.0	485
0.18493150684931506	0.2	146
0.28205128205128205	0.4	39
0.7142857142857143	0.6	7
0.6666666666666666	0.8	3
0.08016032064128256	0.0	499
0.19548872180451127	0.2	133
0.2857142857142857	0.4	35
0.6363636363636364	0.6	11
0.5	0.8	2
0.08282828282828283	0.0	495
0.18840579710144928	0.2	138
0.2857142857142857	0.4	35
0.5	0.6	8
0.6666666666666666	0.8	3
1.0	1.0	1
0.0846774193548387	0.0	496
0.1702127659574468	0.2	141
0.34285714285714286	0.4	35
0.8	0.6	5
0.6666666666666666	0.8	3
