Actual Sepsis Rate	Estimated Sepsis Rate	Counts	Label	Predictions
0.2	0.2	5	Protein	0.13686254272690185
0.0	0.3	2	Protein	0.22815029892315308
0.3333333333333333	0.4	15	Protein	0.3194380551194044
0.52	0.5	25	Protein	0.4107258113156556
0.5833333333333334	0.6	24	Protein	0.5020135675119068
0.5735294117647058	0.7	68	Protein	0.5933013237081581
0.7454545454545455	0.8	55	Protein	0.6845890799044094
0.717391304347826	0.9	46	Protein	0.7758768361006606
0.7916666666666666	1.0	24	Protein	0.8671645922969119
0.3333333333333333	0.2	3	Protein	0.13686254272690185
0.125	0.3	8	Protein	0.22815029892315308
0.4444444444444444	0.4	9	Protein	0.3194380551194044
0.6086956521739131	0.5	23	Protein	0.4107258113156556
0.4634146341463415	0.6	41	Protein	0.5020135675119068
0.6	0.7	55	Protein	0.5933013237081581
0.6666666666666666	0.8	48	Protein	0.6845890799044094
0.78	0.9	50	Protein	0.7758768361006606
0.8148148148148148	1.0	27	Protein	0.8671645922969119
0.0	0.1	1	Protein	0.045574786530650585
0.0	0.2	2	Protein	0.13686254272690185
0.2	0.3	5	Protein	0.22815029892315308
0.4375	0.4	16	Protein	0.3194380551194044
0.5454545454545454	0.5	22	Protein	0.4107258113156556
0.4857142857142857	0.6	35	Protein	0.5020135675119068
0.5319148936170213	0.7	47	Protein	0.5933013237081581
0.6666666666666666	0.8	48	Protein	0.6845890799044094
0.7924528301886793	0.9	53	Protein	0.7758768361006606
0.8285714285714286	1.0	35	Protein	0.8671645922969119
0.0	0.2	2	Protein	0.13686254272690185
0.16666666666666666	0.3	6	Protein	0.22815029892315308
0.2222222222222222	0.4	9	Protein	0.3194380551194044
0.5769230769230769	0.5	26	Protein	0.4107258113156556
0.5833333333333334	0.6	36	Protein	0.5020135675119068
0.4807692307692308	0.7	52	Protein	0.5933013237081581
0.6666666666666666	0.8	51	Protein	0.6845890799044094
0.803921568627451	0.9	51	Protein	0.7758768361006606
0.8387096774193549	1.0	31	Protein	0.8671645922969119
0.0	0.2	3	Protein	0.13686254272690185
0.14285714285714285	0.3	7	Protein	0.22815029892315308
0.5555555555555556	0.4	9	Protein	0.3194380551194044
0.55	0.5	20	Protein	0.4107258113156556
0.5625	0.6	32	Protein	0.5020135675119068
0.48	0.7	50	Protein	0.5933013237081581
0.7213114754098361	0.8	61	Protein	0.6845890799044094
0.7254901960784313	0.9	51	Protein	0.7758768361006606
0.8064516129032258	1.0	31	Protein	0.8671645922969119
0.0	0.2	2	Protein	0.13686254272690185
0.0	0.3	5	Protein	0.22815029892315308
0.4	0.4	15	Protein	0.3194380551194044
0.52	0.5	25	Protein	0.4107258113156556
0.41935483870967744	0.6	31	Protein	0.5020135675119068
0.6727272727272727	0.7	55	Protein	0.5933013237081581
0.6326530612244898	0.8	49	Protein	0.6845890799044094
0.7592592592592593	0.9	54	Protein	0.7758768361006606
0.8571428571428571	1.0	28	Protein	0.8671645922969119
0.0	0.2	3	Protein	0.13686254272690185
0.16666666666666666	0.3	6	Protein	0.22815029892315308
0.42857142857142855	0.4	14	Protein	0.3194380551194044
0.42857142857142855	0.5	21	Protein	0.4107258113156556
0.6206896551724138	0.6	29	Protein	0.5020135675119068
0.5344827586206896	0.7	58	Protein	0.5933013237081581
0.7222222222222222	0.8	54	Protein	0.6845890799044094
0.723404255319149	0.9	47	Protein	0.7758768361006606
0.84375	1.0	32	Protein	0.8671645922969119
0.0	0.2	1	Protein	0.13686254272690185
0.2727272727272727	0.3	11	Protein	0.22815029892315308
0.4117647058823529	0.4	17	Protein	0.3194380551194044
0.5652173913043478	0.5	23	Protein	0.4107258113156556
0.5	0.6	26	Protein	0.5020135675119068
0.5681818181818182	0.7	44	Protein	0.5933013237081581
0.6440677966101694	0.8	59	Protein	0.6845890799044094
0.7551020408163265	0.9	49	Protein	0.7758768361006606
0.8529411764705882	1.0	34	Protein	0.8671645922969119
0.0	0.2	4	Protein	0.13686254272690185
0.4	0.3	5	Protein	0.22815029892315308
0.23076923076923078	0.4	13	Protein	0.3194380551194044
0.6086956521739131	0.5	23	Protein	0.4107258113156556
0.5128205128205128	0.6	39	Protein	0.5020135675119068
0.5531914893617021	0.7	47	Protein	0.5933013237081581
0.7166666666666667	0.8	60	Protein	0.6845890799044094
0.7021276595744681	0.9	47	Protein	0.7758768361006606
0.9230769230769231	1.0	26	Protein	0.8671645922969119
0.0	0.2	3	Protein	0.13686254272690185
0.16666666666666666	0.3	6	Protein	0.22815029892315308
0.5454545454545454	0.4	11	Protein	0.3194380551194044
0.42857142857142855	0.5	28	Protein	0.4107258113156556
0.5227272727272727	0.6	44	Protein	0.5020135675119068
0.5961538461538461	0.7	52	Protein	0.5933013237081581
0.75	0.8	48	Protein	0.6845890799044094
0.725	0.9	40	Protein	0.7758768361006606
0.84375	1.0	32	Protein	0.8671645922969119
0.25	0.2	4	Protein	0.13686254272690185
0.0	0.3	4	Protein	0.22815029892315308
0.45	0.4	20	Protein	0.3194380551194044
0.5	0.5	16	Protein	0.4107258113156556
0.5172413793103449	0.6	29	Protein	0.5020135675119068
0.5517241379310345	0.7	58	Protein	0.5933013237081581
0.7291666666666666	0.8	48	Protein	0.6845890799044094
0.7272727272727273	0.9	55	Protein	0.7758768361006606
0.8333333333333334	1.0	30	Protein	0.8671645922969119
0.0	0.3	7	Protein	0.22815029892315308
0.4	0.4	10	Protein	0.3194380551194044
0.4444444444444444	0.5	27	Protein	0.4107258113156556
0.6296296296296297	0.6	27	Protein	0.5020135675119068
0.5384615384615384	0.7	52	Protein	0.5933013237081581
0.6349206349206349	0.8	63	Protein	0.6845890799044094
0.8085106382978723	0.9	47	Protein	0.7758768361006606
0.8387096774193549	1.0	31	Protein	0.8671645922969119
0.0	0.2	2	Protein	0.13686254272690185
0.25	0.3	8	Protein	0.22815029892315308
0.4166666666666667	0.4	12	Protein	0.3194380551194044
0.3888888888888889	0.5	18	Protein	0.4107258113156556
0.5333333333333333	0.6	30	Protein	0.5020135675119068
0.5925925925925926	0.7	54	Protein	0.5933013237081581
0.6307692307692307	0.8	65	Protein	0.6845890799044094
0.8444444444444444	0.9	45	Protein	0.7758768361006606
0.8	1.0	30	Protein	0.8671645922969119
0.0	0.2	3	Protein	0.13686254272690185
0.2	0.3	5	Protein	0.22815029892315308
0.45454545454545453	0.4	11	Protein	0.3194380551194044
0.5	0.5	22	Protein	0.4107258113156556
0.5862068965517241	0.6	29	Protein	0.5020135675119068
0.5689655172413793	0.7	58	Protein	0.5933013237081581
0.6440677966101694	0.8	59	Protein	0.6845890799044094
0.7441860465116279	0.9	43	Protein	0.7758768361006606
0.8235294117647058	1.0	34	Protein	0.8671645922969119
0.0	0.3	6	Protein	0.22815029892315308
0.3333333333333333	0.4	6	Protein	0.3194380551194044
0.6071428571428571	0.5	28	Protein	0.4107258113156556
0.48484848484848486	0.6	33	Protein	0.5020135675119068
0.6153846153846154	0.7	52	Protein	0.5933013237081581
0.6428571428571429	0.8	56	Protein	0.6845890799044094
0.7407407407407407	0.9	54	Protein	0.7758768361006606
0.7586206896551724	1.0	29	Protein	0.8671645922969119
0.0	0.2	3	Protein	0.13686254272690185
0.3333333333333333	0.3	6	Protein	0.22815029892315308
0.4	0.4	10	Protein	0.3194380551194044
0.48148148148148145	0.5	27	Protein	0.4107258113156556
0.5882352941176471	0.6	34	Protein	0.5020135675119068
0.45614035087719296	0.7	57	Protein	0.5933013237081581
0.7407407407407407	0.8	54	Protein	0.6845890799044094
0.8125	0.9	48	Protein	0.7758768361006606
0.84	1.0	25	Protein	0.8671645922969119
0.0	0.2	1	Protein	0.13686254272690185
0.16666666666666666	0.3	6	Protein	0.22815029892315308
0.45454545454545453	0.4	11	Protein	0.3194380551194044
0.47058823529411764	0.5	17	Protein	0.4107258113156556
0.5135135135135135	0.6	37	Protein	0.5020135675119068
0.5098039215686274	0.7	51	Protein	0.5933013237081581
0.7037037037037037	0.8	54	Protein	0.6845890799044094
0.75	0.9	56	Protein	0.7758768361006606
0.8387096774193549	1.0	31	Protein	0.8671645922969119
0.0	0.2	3	Protein	0.13686254272690185
0.2	0.3	5	Protein	0.22815029892315308
0.3333333333333333	0.4	15	Protein	0.3194380551194044
0.5909090909090909	0.5	22	Protein	0.4107258113156556
0.5333333333333333	0.6	30	Protein	0.5020135675119068
0.5614035087719298	0.7	57	Protein	0.5933013237081581
0.64	0.8	50	Protein	0.6845890799044094
0.7857142857142857	0.9	56	Protein	0.7758768361006606
0.8461538461538461	1.0	26	Protein	0.8671645922969119
0.0	0.2	1	Protein	0.13686254272690185
0.0	0.3	4	Protein	0.22815029892315308
0.5	0.4	16	Protein	0.3194380551194044
0.4782608695652174	0.5	23	Protein	0.4107258113156556
0.5135135135135135	0.6	37	Protein	0.5020135675119068
0.5686274509803921	0.7	51	Protein	0.5933013237081581
0.6808510638297872	0.8	47	Protein	0.6845890799044094
0.75	0.9	52	Protein	0.7758768361006606
0.8181818181818182	1.0	33	Protein	0.8671645922969119
0.0	0.2	2	Protein	0.13686254272690185
0.25	0.3	4	Protein	0.22815029892315308
0.3125	0.4	16	Protein	0.3194380551194044
0.6875	0.5	16	Protein	0.4107258113156556
0.4722222222222222	0.6	36	Protein	0.5020135675119068
0.5714285714285714	0.7	56	Protein	0.5933013237081581
0.7068965517241379	0.8	58	Protein	0.6845890799044094
0.7169811320754716	0.9	53	Protein	0.7758768361006606
0.8695652173913043	1.0	23	Protein	0.8671645922969119
0.0	0.2	1	Protein	0.13686254272690185
0.16666666666666666	0.3	6	Protein	0.22815029892315308
0.5384615384615384	0.4	13	Protein	0.3194380551194044
0.4	0.5	20	Protein	0.4107258113156556
0.4888888888888889	0.6	45	Protein	0.5020135675119068
0.631578947368421	0.7	57	Protein	0.5933013237081581
0.64	0.8	50	Protein	0.6845890799044094
0.8085106382978723	0.9	47	Protein	0.7758768361006606
0.84	1.0	25	Protein	0.8671645922969119
0.0	0.2	2	Protein	0.13686254272690185
0.14285714285714285	0.3	7	Protein	0.22815029892315308
0.4666666666666667	0.4	15	Protein	0.3194380551194044
0.5217391304347826	0.5	23	Protein	0.4107258113156556
0.5806451612903226	0.6	31	Protein	0.5020135675119068
0.5517241379310345	0.7	58	Protein	0.5933013237081581
0.6730769230769231	0.8	52	Protein	0.6845890799044094
0.7446808510638298	0.9	47	Protein	0.7758768361006606
0.8620689655172413	1.0	29	Protein	0.8671645922969119
0.0	0.1	1	Protein	0.045574786530650585
0.25	0.2	4	Protein	0.13686254272690185
0.5	0.3	4	Protein	0.22815029892315308
0.38461538461538464	0.4	13	Protein	0.3194380551194044
0.4444444444444444	0.5	27	Protein	0.4107258113156556
0.6129032258064516	0.6	31	Protein	0.5020135675119068
0.559322033898305	0.7	59	Protein	0.5933013237081581
0.660377358490566	0.8	53	Protein	0.6845890799044094
0.813953488372093	0.9	43	Protein	0.7758768361006606
0.7931034482758621	1.0	29	Protein	0.8671645922969119
0.0	0.2	2	Protein	0.13686254272690185
0.2857142857142857	0.3	7	Protein	0.22815029892315308
0.4166666666666667	0.4	12	Protein	0.3194380551194044
0.4	0.5	25	Protein	0.4107258113156556
0.5625	0.6	32	Protein	0.5020135675119068
0.5344827586206896	0.7	58	Protein	0.5933013237081581
0.78	0.8	50	Protein	0.6845890799044094
0.7346938775510204	0.9	49	Protein	0.7758768361006606
