Actual ICU	Estimated ICU	Counts
0.07119741100323625	0.0	309
0.11020408163265306	0.1	245
0.1590909090909091	0.2	88
0.2857142857142857	0.3	28
0.14285714285714285	0.4	7
1.0	0.5	3
0.07191780821917808	0.0	292
0.104	0.1	250
0.14130434782608695	0.2	92
0.2727272727272727	0.3	33
0.36363636363636365	0.4	11
1.0	0.5	2
0.07168458781362007	0.0	279
0.10714285714285714	0.1	252
0.14423076923076922	0.2	104
0.20588235294117646	0.3	34
0.42857142857142855	0.4	7
0.75	0.5	4
0.07516339869281045	0.0	306
0.09876543209876543	0.1	243
0.1724137931034483	0.2	87
0.22857142857142856	0.3	35
0.3333333333333333	0.4	6
1.0	0.5	2
1.0	0.6	1
0.06569343065693431	0.0	274
0.11290322580645161	0.1	248
0.1559633027522936	0.2	109
0.17073170731707318	0.3	41
0.4	0.4	5
1.0	0.5	3
0.06031746031746032	0.0	315
0.13274336283185842	0.1	226
0.10752688172043011	0.2	93
0.2727272727272727	0.3	33
0.45454545454545453	0.4	11
1.0	0.5	2
0.07317073170731707	0.0	287
0.10245901639344263	0.1	244
0.1717171717171717	0.2	99
0.15789473684210525	0.3	38
0.2857142857142857	0.4	7
0.6666666666666666	0.5	3
1.0	0.6	2
0.07692307692307693	0.0	273
0.0984251968503937	0.1	254
0.1320754716981132	0.2	106
0.24324324324324326	0.3	37
0.5	0.4	4
0.6666666666666666	0.5	3
0.6666666666666666	0.6	3
0.06418918918918919	0.0	296
0.10638297872340426	0.1	235
0.16326530612244897	0.2	98
0.23809523809523808	0.3	42
0.4	0.4	5
0.6666666666666666	0.5	3
1.0	0.6	1
0.06985294117647059	0.0	272
0.09765625	0.1	256
0.2037037037037037	0.2	108
0.13513513513513514	0.3	37
0.4	0.4	5
1.0	0.5	2
0.07419354838709677	0.0	310
0.11440677966101695	0.1	236
0.11827956989247312	0.2	93
0.3	0.3	30
0.14285714285714285	0.4	7
1.0	0.5	4
0.07236842105263158	0.0	304
0.1220472440944882	0.1	254
0.12643678160919541	0.2	87
0.15384615384615385	0.3	26
0.8	0.4	5
0.6666666666666666	0.5	3
1.0	0.6	1
0.0684931506849315	0.0	292
0.10526315789473684	0.1	247
0.16161616161616163	0.2	99
0.2571428571428571	0.3	35
0.4	0.4	5
1.0	0.5	2
0.0706713780918728	0.0	283
0.10040160642570281	0.1	249
0.15841584158415842	0.2	101
0.24324324324324326	0.3	37
0.16666666666666666	0.4	6
1.0	0.5	4
0.07876712328767123	0.0	292
0.08979591836734693	0.1	245
0.1595744680851064	0.2	94
0.25	0.3	36
0.25	0.4	8
0.75	0.5	4
1.0	0.6	1
0.0781758957654723	0.0	307
0.09745762711864407	0.1	236
0.15555555555555556	0.2	90
0.2631578947368421	0.3	38
0.2857142857142857	0.4	7
1.0	0.5	1
1.0	0.6	1
0.06230529595015576	0.0	321
0.12334801762114538	0.1	227
0.1595744680851064	0.2	94
0.25	0.3	32
0.5	0.4	4
1.0	0.5	2
0.06734006734006734	0.0	297
0.09349593495934959	0.1	246
0.18556701030927836	0.2	97
0.2962962962962963	0.3	27
0.4444444444444444	0.4	9
0.3333333333333333	0.5	3
1.0	0.6	1
0.06514657980456026	0.0	307
0.1125	0.1	240
0.1326530612244898	0.2	98
0.4230769230769231	0.3	26
0.0	0.4	4
0.75	0.5	4
1.0	0.6	1
0.06551724137931035	0.0	290
0.1091703056768559	0.1	229
0.14414414414414414	0.2	111
0.2564102564102564	0.3	39
0.16666666666666666	0.4	6
0.6666666666666666	0.5	3
1.0	0.6	2
0.06934306569343066	0.0	274
0.10416666666666667	0.1	240
0.13513513513513514	0.2	111
0.2222222222222222	0.3	45
0.4	0.4	5
0.75	0.5	4
1.0	0.6	1
0.06188925081433225	0.0	307
0.1308016877637131	0.1	237
0.13333333333333333	0.2	90
0.2222222222222222	0.3	36
0.4444444444444444	0.4	9
1.0	0.5	1
0.05574912891986063	0.0	287
0.12987012987012986	0.1	231
0.13274336283185842	0.2	113
0.24324324324324326	0.3	37
0.3	0.4	10
1.0	0.5	2
0.05825242718446602	0.0	309
0.11428571428571428	0.1	245
0.14772727272727273	0.2	88
0.37037037037037035	0.3	27
0.375	0.4	8
1.0	0.5	2
1.0	0.6	1
0.07308970099667775	0.0	301
0.11353711790393013	0.1	229
0.1308411214953271	0.2	107
0.2	0.3	30
0.5	0.4	8
0.5	0.5	2
0.6666666666666666	0.6	3
0.06872852233676977	0.0	291
0.10843373493975904	0.1	249
0.15463917525773196	0.2	97
0.25	0.3	32
0.42857142857142855	0.4	7
0.0	0.5	2
1.0	0.6	2
0.06206896551724138	0.0	290
