Actual Mortality (30-day)	Estimated Mortality (30-day)	Counts
0.07547169811320754	0.0	424
0.17105263157894737	0.1	152
0.16666666666666666	0.2	66
0.25	0.3	24
0.6666666666666666	0.4	9
0.5	0.5	4
1.0	0.6	1
0.0625	0.0	400
0.16071428571428573	0.1	168
0.21428571428571427	0.2	70
0.3	0.3	30
0.6	0.4	5
0.8333333333333334	0.5	6
0.0	0.6	1
0.05623471882640587	0.0	409
0.17532467532467533	0.1	154
0.2631578947368421	0.2	76
0.17857142857142858	0.3	28
0.625	0.4	8
0.75	0.5	4
1.0	0.6	1
0.06435643564356436	0.0	404
0.15333333333333332	0.1	150
0.22727272727272727	0.2	88
0.32	0.3	25
0.3333333333333333	0.4	9
1.0	0.5	3
1.0	0.6	1
0.06666666666666667	0.0	420
0.17333333333333334	0.1	150
0.1917808219178082	0.2	73
0.2962962962962963	0.3	27
0.6	0.4	5
1.0	0.5	4
1.0	0.6	1
0.06097560975609756	0.0	410
0.16374269005847952	0.1	171
0.23880597014925373	0.2	67
0.3	0.3	20
0.6	0.4	5
0.8333333333333334	0.5	6
1.0	0.6	1
0.06937799043062201	0.0	418
0.1497005988023952	0.1	167
0.26785714285714285	0.2	56
0.2857142857142857	0.3	28
0.5	0.4	6
0.75	0.5	4
1.0	0.6	1
0.0665024630541872	0.0	406
0.1437908496732026	0.1	153
0.25301204819277107	0.2	83
0.2857142857142857	0.3	28
0.5	0.4	4
0.6	0.5	5
1.0	0.6	1
0.07125890736342043	0.0	421
0.16167664670658682	0.1	167
0.24561403508771928	0.2	57
0.24	0.3	25
0.3333333333333333	0.4	3
0.8571428571428571	0.5	7
0.06537530266343826	0.0	413
0.15483870967741936	0.1	155
0.2535211267605634	0.2	71
0.25	0.3	28
0.4444444444444444	0.4	9
1.0	0.5	2
1.0	0.6	2
0.05609756097560976	0.0	410
0.17532467532467533	0.1	154
0.22972972972972974	0.2	74
0.2903225806451613	0.3	31
0.5	0.4	6
1.0	0.5	4
1.0	0.6	1
0.06619385342789598	0.0	423
0.18421052631578946	0.1	152
0.18181818181818182	0.2	66
0.3076923076923077	0.3	26
0.4	0.4	5
0.8333333333333334	0.5	6
0.5	0.6	2
0.06971153846153846	0.0	416
0.15976331360946747	0.1	169
0.21052631578947367	0.2	57
0.38461538461538464	0.3	26
0.5	0.4	10
1.0	0.5	1
0.0	0.6	1
0.05896805896805897	0.0	407
0.17197452229299362	0.1	157
0.2597402597402597	0.2	77
0.2222222222222222	0.3	27
0.4444444444444444	0.4	9
1.0	0.5	2
1.0	0.6	1
0.07363420427553444	0.0	421
0.14743589743589744	0.1	156
0.2608695652173913	0.2	69
0.17391304347826086	0.3	23
0.6	0.4	5
1.0	0.5	5
0.0	0.6	1
0.06937799043062201	0.0	418
0.16883116883116883	0.1	154
0.19444444444444445	0.2	72
0.3333333333333333	0.3	24
0.5	0.4	6
0.6	0.5	5
1.0	0.6	1
0.06060606060606061	0.0	396
0.14285714285714285	0.1	161
0.25	0.2	84
0.27586206896551724	0.3	29
0.6	0.4	5
1.0	0.5	5
0.06506024096385542	0.0	415
0.16551724137931034	0.1	145
0.2375	0.2	80
0.17857142857142858	0.3	28
0.8	0.4	5
0.6	0.5	5
1.0	0.6	2
0.06435643564356436	0.0	404
0.16049382716049382	0.1	162
0.23170731707317074	0.2	82
0.23809523809523808	0.3	21
0.6	0.4	5
0.75	0.5	4
1.0	0.6	2
0.06904761904761905	0.0	420
0.16883116883116883	0.1	154
0.21212121212121213	0.2	66
0.27586206896551724	0.3	29
0.6666666666666666	0.4	6
0.75	0.5	4
0.0	0.6	1
0.059665871121718374	0.0	419
0.17307692307692307	0.1	156
0.2463768115942029	0.2	69
0.28	0.3	25
0.5	0.4	4
0.8571428571428571	0.5	7
0.06872037914691943	0.0	422
0.1858974358974359	0.1	156
0.18461538461538463	0.2	65
0.24	0.3	25
0.75	0.4	8
0.6666666666666666	0.5	3
0.0	0.6	1
0.0665024630541872	0.0	406
0.152317880794702	0.1	151
0.20987654320987653	0.2	81
0.32142857142857145	0.3	28
0.42857142857142855	0.4	7
0.6666666666666666	0.5	6
1.0	0.6	1
0.06175771971496437	0.0	421
0.17687074829931973	0.1	147
0.23880597014925373	0.2	67
0.27586206896551724	0.3	29
0.3333333333333333	0.4	9
0.6	0.5	5
1.0	0.6	2
0.06413301662707839	0.0	421
0.19014084507042253	0.1	142
0.19444444444444445	0.2	72
0.25806451612903225	0.3	31
0.3333333333333333	0.4	6
0.8	0.5	5
0.6666666666666666	0.6	3
0.06699751861042183	0.0	403
0.14556962025316456	0.1	158
0.2345679012345679	0.2	81
0.24	0.3	25
0.6	0.4	10
1.0	0.5	2
1.0	0.6	1
0.05825242718446602	0.0	412
0.1794871794871795	0.1	156
0.2328767123287671	0.2	73
0.28	0.3	25
0.4444444444444444	0.4	9
0.75	0.5	4
1.0	0.6	1
0.0665024630541872	0.0	406
0.15432098765432098	0.1	162
0.21621621621621623	0.2	74
0.2916666666666667	0.3	24
0.5	0.4	8
0.8333333333333334	0.5	6
0.07246376811594203	0.0	414
0.12658227848101267	0.1	158
0.2535211267605634	0.2	71
0.34782608695652173	0.3	23
0.3333333333333333	0.4	6
0.75	0.5	8
0.07710280373831775	0.0	428
0.1411042944785276	0.1	163
0.29508196721311475	0.2	61
0.21052631578947367	0.3	19
0.6	0.4	5
0.75	0.5	4
0.06218905472636816	0.0	402
0.15822784810126583	0.1	158
0.22972972972972974	0.2	74
0.28125	0.3	32
0.2857142857142857	0.4	7
0.8333333333333334	0.5	6
1.0	0.6	1
0.07819905213270142	0.0	422
0.13924050632911392	0.1	158
0.1896551724137931	0.2	58
0.3793103448275862	0.3	29
0.2857142857142857	0.4	7
0.8	0.5	5
1.0	0.6	1
0.06157635467980296	0.0	406
0.17682926829268292	0.1	164
0.2028985507246377	0.2	69
0.27586206896551724	0.3	29
0.6666666666666666	0.4	9
0.6666666666666666	0.5	3
0.059850374064837904	0.0	401
0.18787878787878787	0.1	165
0.16923076923076924	0.2	65
0.2857142857142857	0.3	35
0.3333333333333333	0.4	6
0.6666666666666666	0.5	6
1.0	0.6	2
0.06372549019607843	0.0	408
0.16470588235294117	0.1	170
0.22857142857142856	0.2	70
0.2857142857142857	0.3	21
0.6666666666666666	0.4	6
0.75	0.5	4
1.0	0.6	1
0.06435643564356436	0.0	404
0.15789473684210525	0.1	171
0.234375	0.2	64
0.3103448275862069	0.3	29
0.5	0.4	4
0.5	0.5	6
1.0	0.6	2
0.06601466992665037	0.0	409
0.15	0.1	160
0.2361111111111111	0.2	72
0.28	0.3	25
0.6	0.4	5
0.6666666666666666	0.5	9
0.08009708737864078	0.0	412
0.11688311688311688	0.1	154
0.23943661971830985	0.2	71
0.3	0.3	30
0.3333333333333333	0.4	6
0.7142857142857143	0.5	7
0.05970149253731343	0.0	402
0.17197452229299362	0.1	157
0.21794871794871795	0.2	78
0.23333333333333334	0.3	30
0.6666666666666666	0.4	6
0.8	0.5	5
0.5	0.6	2
0.06635071090047394	0.0	422
0.16883116883116883	0.1	154
0.21875	0.2	64
0.3225806451612903	0.3	31
0.5	0.4	4
1.0	0.5	2
0.6666666666666666	0.6	3
0.06796116504854369	0.0	412
0.1497005988023952	0.1	167
0.2878787878787879	0.2	66
0.13043478260869565	0.3	23
0.5714285714285714	0.4	7
1.0	0.5	4
1.0	0.6	1
0.06698564593301436	0.0	418
0.17419354838709677	0.1	155
0.20833333333333334	0.2	72
0.32	0.3	25
0.5	0.4	8
1.0	0.5	1
1.0	0.6	1
0.06537530266343826	0.0	413
0.18064516129032257	0.1	155
0.22535211267605634	0.2	71
0.1724137931034483	0.3	29
0.7142857142857143	0.4	7
0.5	0.5	4
1.0	0.6	1
0.060240963855421686	0.0	415
0.1917808219178082	0.1	146
0.20253164556962025	0.2	79
0.26666666666666666	0.3	30
0.5714285714285714	0.4	7
1.0	0.5	2
1.0	0.6	1
0.06699751861042183	0.0	403
0.15568862275449102	0.1	167
0.21311475409836064	0.2	61
0.29411764705882354	0.3	34
0.375	0.4	8
0.6666666666666666	0.5	6
1.0	0.6	1
0.06082725060827251	0.0	411
