Actual Sepsis	Estimated Sepsis	Counts
0.0	0.0	1
0.4	0.1	5
0.2	0.2	15
0.3333333333333333	0.3	33
0.3409090909090909	0.4	44
0.6481481481481481	0.5	108
0.6336633663366337	0.6	101
0.725925925925926	0.7	135
0.8070175438596491	0.8	114
0.8641975308641975	0.9	81
0.9069767441860465	1.0	43
0.0	0.0	1
0.0	0.1	2
0.35714285714285715	0.2	14
0.2222222222222222	0.3	27
0.4583333333333333	0.4	48
0.5714285714285714	0.5	98
0.5849056603773585	0.6	106
0.7723577235772358	0.7	123
0.7786885245901639	0.8	122
0.8588235294117647	0.9	85
0.9259259259259259	1.0	54
0.0	0.0	1
0.2	0.1	5
0.25	0.2	16
0.21212121212121213	0.3	33
0.5454545454545454	0.4	66
0.611764705882353	0.5	85
0.6153846153846154	0.6	104
0.7307692307692307	0.7	130
0.825	0.8	120
0.8625	0.9	80
0.925	1.0	40
0.0	0.0	1
0.0	0.1	2
0.3333333333333333	0.2	18
0.3125	0.3	32
0.5102040816326531	0.4	49
0.5833333333333334	0.5	96
0.6213592233009708	0.6	103
0.7063492063492064	0.7	126
0.8205128205128205	0.8	117
0.8488372093023255	0.9	86
0.9	1.0	50
0.0	0.0	1
0.2	0.1	5
0.4	0.2	10
0.22857142857142856	0.3	35
0.46153846153846156	0.4	52
0.6304347826086957	0.5	92
0.6095238095238096	0.6	105
0.7024793388429752	0.7	121
0.8412698412698413	0.8	126
0.8192771084337349	0.9	83
0.92	1.0	50
0.0	0.0	2
0.25	0.1	4
0.2	0.2	15
0.35294117647058826	0.3	34
0.43103448275862066	0.4	58
0.6213592233009708	0.5	103
0.6568627450980392	0.6	102
0.7313432835820896	0.7	134
0.8055555555555556	0.8	108
0.8783783783783784	0.9	74
0.9130434782608695	1.0	46
0.0	0.1	4
0.2777777777777778	0.2	18
0.22580645161290322	0.3	31
0.5	0.4	58
0.6666666666666666	0.5	93
0.6228070175438597	0.6	114
0.711864406779661	0.7	118
0.81	0.8	100
0.8301886792452831	0.9	106
0.9736842105263158	1.0	38
0.25	0.1	4
0.2631578947368421	0.2	19
0.3870967741935484	0.3	31
0.4666666666666667	0.4	60
0.5569620253164557	0.5	79
0.6774193548387096	0.6	124
0.712	0.7	125
0.8387096774193549	0.8	124
0.8082191780821918	0.9	73
0.926829268292683	1.0	41
0.25	0.1	4
0.2857142857142857	0.2	7
0.2777777777777778	0.3	36
0.47619047619047616	0.4	63
0.6296296296296297	0.5	81
0.5677966101694916	0.6	118
0.7377049180327869	0.7	122
0.864	0.8	125
0.7951807228915663	0.9	83
0.9512195121951219	1.0	41
0.0	0.1	2
0.2857142857142857	0.2	14
0.2727272727272727	0.3	33
0.45901639344262296	0.4	61
