feature	importance 0	importance 1	importance 2	Mean Importance	Panel
VSIG4	1.5284801405043875	1.4325306233425308	1.3776513217221333	1.4462206951896839	Cardio
CBG	1.254927516481664	0.879476687368214	0.8843840557308952	1.0062627531935913	Cardio
CO8G	0.7377034522023691	0.6839240996152349	1.2299355429778491	0.8838543649318177	Cardio
LBP	0.4355229841596726	0.6527544110627687	0.9278457715581405	0.6720410555935272	Cardio
PROZ	0.6068986094653874	0.870079761069426	0.482701438965736	0.6532266031668498	Cardio
HLAB	0.526291193588458	0.7959116847020763	0.5884022486154352	0.6368683756353232	Cardio
CYTC	0.7946002626578065	0.41235116229876817	0.4411632634292656	0.5493715627952801	Cardio
HABP2	0.09826931092229793	0.8442597464646934	0.6632743766288649	0.5352678113386188	Cardio
VWF	0.674263558925542	0.21299118475310586	0.7117241652776332	0.5329929696520938	Cardio
TFR1	0.4582887366118437	0.7099675794688879	0.419084744979035	0.5291136870199221	Cardio
A1AT	0.543732139643236	0.5507510317120672	0.4625826666449782	0.5190219460000938	Cardio
CO4B	0.3988402066976436	0.6442805565149546	0.47476998473448406	0.5059635826490275	Cardio
F13A	0.5063706648880006	0.8196426041963216	0.15943980976839603	0.4951510262842394	Cardio
B2MG	0.605927715190396	0.4745230757859857	0.38486340416354936	0.4884380650466437	Cardio
CRP	0.49981015337280255	0.2872591693257844	0.6760582047201694	0.4877091758062521	Cardio
CD5L	0.47247014089842226	0.4576789302079443	0.5326334054989521	0.48759415886843954	Cardio
CO6	0.45091969653378655	0.40937507449876315	0.6024732206570627	0.48758933056320414	Cardio
PCOC1	0.5742103902232236	0.532105004823161	0.33581682218413983	0.4807107390768415	Cardio
AACT	0.2660659733994349	0.5020102249942983	0.6171656673729234	0.4617472885888856	Cardio
ZPI	0.34297575963690596	0.52032816600321	0.5208779854024657	0.4613939703475272	Cardio
PEDF	0.704181939565234	0.19059249959609847	0.4529855918265351	0.4492533436626225	Cardio
PTGDS	0.6184053304004076	0.34082931355649143	0.3856623395734245	0.44829899451010785	Cardio
CFAI	0.4047725807471406	0.3959697595264545	0.5332694581779579	0.44467059948385107	Cardio
FHR5	0.4123052348282776	0.620447903710354	0.29611243056820835	0.44295518970227993	Cardio
MASP2	0.48910864201412546	0.13647509545134207	0.686533424427379	0.43737238729761546	Cardio
PROC	0.3058432974285746	0.6242445635954571	0.37273594894353507	0.43427460332252227	Cardio
COF1	0.1819505025213956	0.4278434873738259	0.6763937811411446	0.428729257012122	Cardio
LYSC	0.25823578106443484	0.42126389425520827	0.6062073677513125	0.4285690143569852	Cardio
KNG1	0.5881764303520909	0.07078076486197253	0.6249218442477468	0.42795967982060334	Cardio
VCAM1	0.3795555404437938	0.6354115599260816	0.2506470617561878	0.4218713873753544	Cardio
F13B	0.35317415471295815	0.22185306080163764	0.6793223368968497	0.4181165174704818	Cardio
A1AG2	0.4567779290187643	0.35077009256062824	0.44099693598807765	0.41618165252249	Cardio
PROS	0.3196517549305713	0.3995652235726933	0.5147463298506761	0.4113211027846469	Cardio
ENPL	0.3800495808970784	0.45721806210581406	0.3960857754501905	0.41111780615102766	Cardio
RS27A	0.5471327824162124	0.26421185975327227	0.417139172396101	0.4094946048551953	Cardio
NCAM1	0.41686258381963587	0.3342869948064944	0.4706968077335789	0.4072821287865697	Cardio
ITA2B	0.39890060314387316	0.46020473888949825	0.3354349277084328	0.3981800899139347	Cardio
C163A	0.17323268038346282	0.6484792780213462	0.36984612914669523	0.3971860291838348	Cardio
ACTB	0.19396347144667847	0.5276349981380621	0.46692560457547033	0.396174691386737	Cardio
URP2	0.16190899770566491	0.2608993849551797	0.748911090228669	0.3905731576298379	Cardio
AFAM	0.19609969429166824	0.4832642135326889	0.48772309218043797	0.3890290000015984	Cardio
CO3	0.2618179717678061	0.7370325393372112	0.1580940131300669	0.38564817474502805	Cardio
APOC4	0.006712746990881875	0.5647397920265257	0.5786875411763216	0.38338002673124305	Cardio
MUC18	0.17431193893226085	0.464016142626326	0.5037651958866802	0.3806977591484224	Cardio
A1AG1	0.6654566867522071	0.16566298493577433	0.30851743080491034	0.3798790341642973	Cardio
APOF	0.5242287519164398	0.16255303319957462	0.41201331022251175	0.3662650317795087	Cardio
PDIA1	0.5580671301919096	0.28248604721099296	0.2571189619124766	0.36589071310512633	Cardio
H4	0.49265219726300513	0.42362210264535355	0.18091092011962845	0.36572840667599565	Cardio
ITB3	0.10669508496263692	0.7074851487317548	0.27380780785939923	0.3626626805179303	Cardio
SAA4	0.259347682014311	0.6674360304425982	0.13693292063198464	0.35457221102963127	Cardio
LDHA	0.3970582996225206	0.2573273998360236	0.3967289069077667	0.3503715354554369	Cardio
