feature	importance 0	importance 1	importance 2	Mean Importance	Panel
PHLD	0.9474983126506282	0.6120267408917632	0.7610717411682445	0.7735322649035453	CNS
ACTN4	0.8433072305976589	0.5270570407625925	0.8586736359508399	0.7430126357703638	CNS
TETN	0.6400603213571399	0.7626203234579437	0.7279304191154075	0.7102036879768304	CNS
ENOA	0.6520432423459092	0.5712540508041936	0.8240063854548969	0.6824345595349999	CNS
CO8G	0.7324040764302849	0.5451405470111553	0.7691570780296504	0.6822339004903636	CNS
C1RL	0.7610886104124633	0.7542472327575895	0.3619659185440236	0.6257672539046921	CNS
PROF1	0.6178619316208211	0.31928300165480783	0.739323896281664	0.5588229431857643	CNS
FHR3	0.3981345341073545	0.7128655525992076	0.5588714061417746	0.5566238309494456	CNS
FCN3	0.7883267877093099	0.3491666748719297	0.5166996468595981	0.5513977031469459	CNS
K2C1	0.5613599955384271	0.4859513276105773	0.5425229105006264	0.529944744549877	CNS
LUM	0.555222490538826	0.59066837525488	0.4132415536531984	0.5197108064823015	CNS
CO5	0.08829228632255993	0.6922206752121769	0.7753439480033486	0.5186189698460285	CNS
PEBP4	0.5603302795352733	0.42096702667223435	0.529695511635018	0.5036642726141752	CNS
FA12	0.6237867094176495	0.38806894167469613	0.4953343496975534	0.5023966669299663	CNS
APOA2	0.3755791712028854	0.777437395207419	0.33899864405857105	0.49733840348962516	CNS
ATRN	0.30611665075926625	0.4519661512103561	0.730906844705765	0.49632988222512914	CNS
KNG1	0.6402419967081113	0.29734807241061384	0.5417670113910172	0.49311902683658076	CNS
VTNC	0.25243444623344724	0.7893971309666381	0.4208168991463784	0.48754949211548787	CNS
CLUS	0.4716036463033241	0.38415200489114737	0.603456429440814	0.4864040268784285	CNS
MASP1	0.6042542147357914	0.40954966196188525	0.43960651579779475	0.48447013083182383	CNS
F13B	0.5175398994548719	0.28036205830493205	0.640006805001721	0.47930292092050825	CNS
ZA2G	0.4950415535033589	0.5214252735034464	0.42094030303770086	0.4791357100148353	CNS
LDHB	0.5977226333710978	0.45288240663816404	0.3792617453628523	0.4766222617907047	CNS
PCYOX	0.46550816580210996	0.4985123913101933	0.4472644411609467	0.47042833275775003	CNS
B2MG	0.4232993089510182	0.4151672581892659	0.5388283806443424	0.45909831592820877	CNS
CO2	0.46272430013521826	0.4359278862366567	0.46194229011730725	0.4535314921630607	CNS
APOA4	0.4865274910348429	0.5696126283119308	0.30185529697270036	0.452665138773158	CNS
CFAH	0.6594191956178829	0.4128297388883342	0.27516641656644164	0.44913845035755284	CNS
CERU	0.42346746463066526	0.48220771222749326	0.43601286959038643	0.44722934881618165	CNS
SEPP1	0.47174624745847754	0.3829311417399528	0.4771796328545009	0.4439523406843104	CNS
FBLN5	0.02000950215860656	0.3548956597696212	0.953913248824616	0.44293947025094793	CNS
MYL6	0.5262209359390841	0.49134840122253065	0.30997847525633393	0.44251593747264956	CNS
PCSK9	0.4774919139839878	0.3315505878707975	0.488396081214533	0.43247952768977277	CNS
A2AP	0.34122152122538063	0.6426644075553141	0.3081806225297831	0.430688850436826	CNS
CADH5	0.4525448799446456	0.5003210743726094	0.3063127162412923	0.4197262235195158	CNS
SAMP	0.768003692935233	0.1242158411349457	0.3517223387477375	0.41464729093930536	CNS
CD14	0.09333367193747406	0.5640281431630834	0.5845390276498204	0.41396694758345925	CNS
VSIG4	0.1882332908480818	0.37659584586295686	0.6496922490550288	0.4048404619220225	CNS
PZP	0.523273061022943	0.15084606837321746	0.5324204559045401	0.4021798617669002	CNS
FETUB	0.314936162176596	0.3492913085394228	0.5403975567756122	0.4015416758305436	CNS
TBB1	0.31232349811505167	0.36233819824344315	0.5256682999282579	0.4001099987622509	CNS
RNAS1	0.25725314849495595	0.41442960740912216	0.5193007330698141	0.39699449632463074	CNS
AMPN	0.3737093167187087	0.3045047558346851	0.5104138925190301	0.396209321690808	CNS
C1QB	0.21267694758933234	0.40171711227554263	0.569848586176613	0.39474754868049605	CNS
AOC3	0.3881198445217681	0.4859059042509708	0.30831562630567694	0.3941137916928053	CNS
COMP	0.26457095457646124	0.4399700944094897	0.47394009777350077	0.3928270489198173	CNS
PON3	0.28475102786995987	0.3764799759925897	0.5064366401322753	0.38922254799827494	CNS
GSTO1	0.40979545983152715	0.3358513097149353	0.4114579508423079	0.38570157346292344	CNS
MA2A1	0.46018694574339447	0.5089982836389594	0.16850283207239997	0.37922935381825124	CNS
ALDOB	0.5222123873147876	0.10086657281366307	0.509558937019128	0.3775459657158596	CNS
HLAB	0.43222934356311454	0.4677296117563598	0.2305358053340866	0.3768315868845203	CNS
TFR1	0.34712073236224655	0.5175742932106339	0.24849237301162141	0.3710624661948339	CNS
CO7	0.4177133580395559	0.4000327649326169	0.28500213083752707	0.3675827512698999	CNS
TRFE	0.32872580641527305	0.3358712212291783	0.4292080008547129	0.364601676166388	CNS
URP2	0.5987136166967979	0.4199053665344361	0.06667465789166284	0.3617645470409656	CNS
PLMN	0.24561421438345055	0.5580281345452006	0.2760455983241017	0.3598959824175843	CNS
TENA	0.263694742722099	0.3919339862978056	0.4149799684715311	0.3568695658304786	CNS
FA7	0.45763197068617406	0.17630904392676158	0.42760550862283175	0.35384884107858916	CNS
PRG4	0.34989607686732777	0.45398356543363827	0.25441663062783326	0.35276542430959973	CNS
CBPN	0.430820190596345	0.09854731759901449	0.52471024440637	0.3513592508672432	CNS
FETUA	0.7595616522211609	0.047324907487756494	0.24429925456847562	0.3503952714257977	CNS
CO4B	0.3381790438636121	0.3295643175078459	0.36906608290809084	0.345603148093183	CNS
RAP1B	0.21020545267186141	0.38083564100298195	0.4453760790890245	0.3454723909212893	CNS
THIO	0.1761450631542644	0.48667899174200274	0.3566778597107	0.3398339715356557	CNS
HEP2	0.26671429425366927	0.28215333433432815	0.4644465146654866	0.33777138108449467	CNS
EPCR	0.40834055197228775	0.35440991706077063	0.2490878195858479	0.33727942953963547	CNS
