feature	importance 0	importance 1	importance 2	Mean Importance	Panel
CNDP1	0.5919819275356802	0.8269142437637886	0.7322166455415808	0.7170376056136832	Coag
ANGT	0.6431807023603271	0.7679954255397874	0.6967964450385091	0.7026575243128746	Coag
ITB3	0.4811961444720838	0.6557499622085418	0.9184489158169687	0.6851316741658647	Coag
PRG4	0.5728906739903641	0.620411778422048	0.7966141122349513	0.6633055215491211	Coag
HEP2	0.6562828311289594	0.6616298755622543	0.6171710032391935	0.6450279033101357	Coag
CXCL7	0.47579558579973735	0.6613547955766833	0.7074703353561549	0.6148735722441919	Coag
TETN	0.6377944346054353	0.5693291170199493	0.6202085817401926	0.6091107111218591	Coag
VWF	0.436427876571791	0.4599282993918952	0.7916389308171702	0.5626650355936188	Coag
TSP1	0.5872763607481951	0.4534978800385204	0.5610350981403283	0.5339364463090146	Coag
FA7	0.39477126353397507	0.6313611142064526	0.5029051393037541	0.5096791723480606	Coag
FA5	0.6203865505646909	0.25293531015700427	0.6228980932655718	0.4987399846624223	Coag
EPCR	0.17048530076355425	0.6127114115639113	0.6957220933313442	0.4929729352196032	Coag
PDIA1	0.40062211548550003	0.5345853299982682	0.5096501793009719	0.48161920826158006	Coag
BGH3	0.4049712197141076	0.3763497648823803	0.619691419914524	0.467004134837004	Coag
TRY3	0.556832251835644	0.6125777099809244	0.22893279765285404	0.4661142531564742	Coag
VSIG4	0.5409954648515711	0.44394213172614766	0.3634782759836424	0.4494719575204537	Coag
FINC	0.7154887912907245	0.40452017103623955	0.22768487232588927	0.44923127821761777	Coag
FHR2	0.3449001589877902	0.6337196003525584	0.3668276368861381	0.44848246540882886	Coag
PEBP4	0.5411935137153455	0.25298428082704816	0.5433821594325439	0.4458533179916458	Coag
CBPB2	0.4800538683922788	0.5247043853278194	0.3242908793799561	0.44301637770001806	Coag
PLF4	0.5733554936524392	0.26557605563488057	0.47917229839874836	0.4393679492286893	Coag
VASN	0.4421019630468822	0.5121023615437034	0.31600757910774424	0.42340396789944323	Coag
FBLN5	0.07964570334174112	0.639160908471324	0.5240965855300928	0.41430106578105264	Coag
LCAT	0.30647811723241214	0.25791169386725155	0.6741563689539593	0.41284872668454103	Coag
CPN2	0.33926213933717464	0.34462408701240727	0.5327114992665014	0.4055325752053611	Coag
CFAD	0.3026654118589155	0.3304322968298409	0.5484855191879111	0.3938610759588892	Coag
ITIH3	0.17513144172624434	0.5319508445204114	0.4714785378185079	0.39285360802172126	Coag
VTDB	0.2081805530422684	0.5237589337664148	0.40174264359861334	0.3778940434690989	Coag
ZPI	0.12132963187903396	0.5636317922905955	0.4482901125743526	0.37775051224799405	Coag
CYTC	0.2635791424848909	0.5850721034476649	0.26699597452556256	0.37188240681937285	Coag
SAA1	0.347583979502662	0.21773380720601115	0.5470734368976227	0.3707970745354319	Coag
CATB	0.26780653004999805	0.27655322046278746	0.5645830440048559	0.3696475981725471	Coag
URP2	0.2475248158712248	0.43667174573276996	0.4178101087557441	0.36733555678657964	Coag
TBB5	0.5019617908267094	0.3476929670566674	0.2437007142855284	0.3644518240563017	Coag
