feature	importance 0	importance 1	importance 2	Mean Importance	Panel
PDLI1	0.7087471491477058	0.7715715350623208	0.6050354320015621	0.6951180387371961	Liver
TBB5	0.6967884454847538	0.9113799337386723	0.36533401358376544	0.6578341309357305	Liver
PZP	0.590047283853638	0.6888367649278571	0.594120874476643	0.6243349744193792	Liver
ITA2B	0.6807257318203503	0.6424528576083142	0.5399429726178675	0.6210405206821773	Liver
BGH3	0.5618076807606863	0.808413691579696	0.4496432270303035	0.6066215331235619	Liver
MBL2	0.6625487022140012	0.5592698669612253	0.5234206841402004	0.5817464177718089	Liver
CPN2	0.4845068148877603	0.6475092374464116	0.5943691875443605	0.5754617466261776	Liver
IL1AP	0.7409740162108137	0.5628806079270985	0.2659885336987723	0.5232810526122282	Liver
CO5	0.3841541623671592	0.4193489920848141	0.6952183978077116	0.4995738507532283	Liver
PON1	0.28175719112303227	0.6599146938004433	0.5226477618014239	0.48810654890829985	Liver
FBLN1	0.34924147496051333	0.5721477715921162	0.5277934028282278	0.48306088312695245	Liver
APOA	0.4305556626023425	0.5734543349977569	0.4416142155272393	0.4818747377091129	Liver
ITB3	0.6114320095596795	0.3835604744499907	0.4496339100046108	0.48154213133809365	Liver
PSPB	0.6085289073275075	0.4793077365872925	0.3294466006624547	0.47242774819241823	Liver
ANGT	0.3200323436189162	0.6043942825197205	0.49086473949190734	0.47176378854351464	Liver
A1AG2	0.7203509782768043	0.37697867657263956	0.31598866651274415	0.47110610712072926	Liver
A2MG	0.49825174008475875	0.5601707611549743	0.2903004535021424	0.44957431824729177	Liver
K2C1	0.34488437885762735	0.5196589192468581	0.45709081941163715	0.44054470583870753	Liver
ITIH3	0.7030525514324624	0.15020301303886444	0.4641198731390497	0.4391251458701255	Liver
FHR1	0.6005915005636048	0.07677030017787724	0.62696221996897	0.4347746735701506	Liver
GPX3	0.47805340347759345	0.5492005246324444	0.268797193916031	0.4320170406753563	Liver
LAMP2	0.32252165923627024	0.4310997922170296	0.5406289451163324	0.43141679885654405	Liver
PLMN	0.12901383715346332	0.6568689800018307	0.4883382470355041	0.4247403547302661	Liver
APOF	0.3569595297582151	0.3673071845514471	0.522975548791333	0.4157474210336651	Liver
APOL1	0.36374949270206797	0.5196864036814207	0.3607171130546526	0.41471766981271374	Liver
ACTN4	0.12472658946076902	0.4593575889659229	0.6531738502650326	0.4124193428972415	Liver
FIBG	0.41662580163171226	0.3022557561365376	0.5162822374183453	0.4117212650621984	Liver
MASP1	0.30579308725843196	0.4409702469559477	0.4574387404933661	0.40140069156924857	Liver
CXCL7	0.581693751357001	0.16345678411818204	0.4559087060094208	0.4003530804948679	Liver
PROP	0.49852806365905183	0.5227478294800376	0.14822524481746102	0.38983371265218353	Liver
SEPP1	0.1962128822190011	0.47945856325604674	0.4909278232776981	0.388866422917582	Liver
PEBP4	0.25020588603342336	0.423924622985944	0.4859501410467897	0.38669355002205236	Liver
CADH5	0.3985627028164914	0.32899415468273746	0.4062369132148006	0.37793125690467644	Liver
ITIH1	0.4180046802356685	0.3424991215676206	0.36314676173238086	0.3745501878452233	Liver
ENOA	0.4868907033689127	0.1759802008532556	0.4579877504153513	0.37361955154583987	Liver
ALBU	0.40209209754682435	0.21541229284785848	0.5003981374242367	0.3726341759396399	Liver
TAGL2	0.25875623279642895	0.4193302471246808	0.42537729982547173	0.3678212599155271	Liver
OAF	0.4470483090806587	0.41805376194859056	0.23813602519598936	0.36774603207507955	Liver
PIGR	0.30356334480664254	0.2507147980441156	0.5355267347329739	0.36326829252791065	Liver
MMP2	0.28456678776246547	0.4175579679347333	0.3768573366933731	0.35966069746352397	Liver
AACT	0.261390029951904	0.5476674588879498	0.2669304595501132	0.3586626494633223	Liver
TRY1	0.30307162231088114	0.3023916986282305	0.4684026177121604	0.3579553128837573	Liver
ALS	0.3100829705937517	0.4417627028373707	0.31585100645038877	0.355898893293837	Liver
TENA	0.3417702051700825	0.27570777665924284	0.44999983588452847	0.35582593923795125	Liver
LG3BP	0.1979958874626313	0.3650104597457732	0.4908769580361074	0.35129443508150393	Liver
ICAM1	0.2657700421697058	0.5013001793770158	0.2841752163612434	0.35041514596932166	Liver
HSP7C	0.35831086923351074	0.4984010559929168	0.19119923632630031	0.3493037205175759	Liver
HPT	0.24742829321961737	0.37646144788297375	0.41152072624296393	0.34513682244851834	Liver
H4	0.2674061363960906	0.44920512271257684	0.3156412049025261	0.3440841546703979	Liver
ADIPO	0.2504874780874273	0.3634993943576891	0.4069088573798826	0.340298576608333	Liver
CMGA	0.35146282644962135	0.2833338307132519	0.384668303080911	0.33982165341459475	Liver
F13A	0.2629536349452081	0.26020935264650863	0.48518423849615855	0.33611574202929173	Liver
RAP1B	0.2874894899628942	0.3445945146613006	0.37533762107803254	0.3358072085674091	Liver
TETN	0.17291254888002608	0.39562526522565583	0.4183422051347829	0.32896000641348827	Liver
CETP	0.3511019727936016	0.2720575000961576	0.35472513564577274	0.32596153617851065	Liver
KRT85	0.30081319261226414	0.13890593346102215	0.5364406570094868	0.3253865943609244	Liver
VWF	0.4080525430647212	0.14710026673468782	0.41086766966432725	0.3220068264879121	Liver
SAA4	0.211780572813118	0.3803476390314122	0.3650995175295665	0.3190759097913656	Liver
A2GL	0.1525889198993753	0.4158224309779715	0.3777705705608329	0.31539397381272655	Liver
CD5L	0.20612753186379257	0.21223252152566355	0.5049620571602448	0.3077740368499003	Liver
TBB1	0.2183998501617306	0.5403279433373258	0.1639243749361722	0.30755072281174284	Liver
DSG2	0.10338841235833976	0.5217877631538491	0.28546492267992185	0.30354703273070355	Liver
HEP2	0.3261991708676867	0.13440860129420165	0.44386868197954216	0.30149215138047686	Liver
CLUS	0.4057575309581162	0.368978066324666	0.12293404006115423	0.29922321244797884	Liver
CSPG2	0.2538787141492809	0.1815533686573135	0.4613329672148868	0.29892168334049374	Liver
APOC1	0.3726975953866325	0.1787758446616345	0.3424484046156435	0.2979739482213035	Liver
HGFA	0.6248912779549044	0.22839807741074786	0.038799338247428455	0.2973628978710269	Liver
LDHA	0.3187167169731374	0.1498126018660469	0.4198531250734528	0.29612748130421235	Liver
