feature	importance 0	importance 1	importance 2	Mean Importance	Panel
CYTC	0.8625550961082115	0.6338132405428794	0.8166046427319452	0.7709909931276787	Renal
PTGDS	0.6695786786088199	0.920345046839266	0.5821321008440616	0.7240186087640491	Renal
FA5	0.5346860457670505	0.8979053306880254	0.5262648422423194	0.6529520728991317	Renal
ZA2G	0.6061152256192017	0.611924459866248	0.5806961057336584	0.5995785970730361	Renal
B2MG	0.5843866375052462	0.626732656457483	0.5453009326937321	0.5854734088854872	Renal
CO4B	0.6198523113944295	0.4257215351616363	0.7089514135496389	0.5848417533685683	Renal
TLN1	0.805670867475179	0.3446244652418057	0.5943980117424768	0.5815644481531538	Renal
LKHA4	0.5242710543895441	0.6713780485748474	0.5024740613608035	0.5660410547750651	Renal
CFAD	0.6267516663089883	0.5806926335091379	0.4782409880979855	0.5618950959720371	Renal
VSIG4	0.5231890790255156	0.544894077701845	0.5120819271046448	0.5267216946106684	Renal
LYSC	0.4413853605186355	0.6235209220406341	0.49812014765765217	0.5210088100723073	Renal
CLUS	0.3541456362396419	0.5510951958731929	0.6197447524814816	0.5083285281981055	Renal
COIA1	0.5805501258323557	0.3599822885694175	0.5807440284484713	0.5070921476167481	Renal
PHLD	0.2214649904994343	0.7916419704673013	0.42437985829001906	0.4791622730855849	Renal
FA12	0.44130877529476875	0.4500907493259821	0.5277931998062201	0.473064241475657	Renal
TBB4A	0.3742051659577697	0.5592906544516635	0.474094447396633	0.46919675593535537	Renal
FETUB	0.3830212370181545	0.7195285904866395	0.2872257019275966	0.46325850981079686	Renal
ITB3	0.4714155560286081	0.6906673343571154	0.1623988230960425	0.44149390449392195	Renal
SAA2	0.2469766266752578	0.518062777818459	0.5513003039638708	0.4387799028191958	Renal
GPX3	0.30524674728057677	0.5281821341300157	0.43639242186363597	0.4232737677580762	Renal
TBB5	0.21798001603897416	0.3500284757344088	0.6996083865166322	0.4225389594300051	Renal
TIMP1	0.2605906814161947	0.314615766516037	0.6913531816858579	0.4221865432060299	Renal
CBG	0.43295487399193483	0.45947539465746684	0.3536526698159634	0.415360979488455	Renal
ANT3	0.4793898580356728	0.4462914011467968	0.29432187283467903	0.40666771067238283	Renal
GSTO1	0.5531639296249701	0.28943928045417144	0.3485519840226522	0.39705173136726457	Renal
VTNC	0.45377506773113224	0.3835063550393976	0.3467216542695145	0.3946676923466814	Renal
AACT	0.39535286246374485	0.470019579105896	0.3045933867347165	0.3899886094347858	Renal
FGL1	0.10639870353612006	0.3993654682383016	0.6512218511308048	0.38566200763507547	Renal
C1R	0.41100458837481607	0.3928189415560079	0.32675826246032863	0.37686059746371753	Renal
A1AT	0.45561666078663654	0.10042226067044595	0.5674895670461775	0.3745094961677533	Renal
F13B	0.47252486214412853	0.32541425402467117	0.3141918636295539	0.3707103265994512	Renal
APOA	0.5247379774119393	0.3206003051744171	0.2636789173632534	0.3696723999832033	Renal
KNG1	0.27820739718532683	0.44767719996864275	0.3728388856479665	0.3662411609339787	Renal
TBB1	0.15908555843801517	0.4511591110326232	0.484711665725335	0.3649854450653245	Renal
MASP2	0.30026376943200317	0.32093003033382533	0.4721218720946441	0.3644385572868242	Renal
APOD	0.25497464989538565	0.36502710516583925	0.4701773525827221	0.3633930358813157	Renal
A2MG	0.4487328978252818	0.3385967963483757	0.2986471113806525	0.36199226851810334	Renal
C1RL	0.3074338358376571	0.34529335286442914	0.4216898919396003	0.3581390268805622	Renal
NID1	0.28455409770555024	0.3433063294420096	0.43203544979259617	0.3532986256467187	Renal
AOC3	0.44167260678759623	0.2853422432229674	0.32614458183322703	0.35105314394793025	Renal
RET4	0.3932130961214216	0.2776524166459435	0.3772925079176175	0.34938600689499416	Renal
ECM1	0.24922781283927647	0.41625651274206316	0.3549180506650772	0.34013412541547233	Renal
FA11	0.3516037553662692	0.13066199727850167	0.5361305691410001	0.339465440595257	Renal
BTD	0.48779588673418695	0.20779165710967762	0.3116942874319658	0.3357606104252768	Renal
APOC3	0.2511828804035345	0.3671303023967859	0.3873919537166661	0.33523504550566213	Renal
HPTR	0.14623921268779208	0.4272521287533805	0.4303176830634224	0.3346030081681983	Renal
FETUA	0.2529499286589273	0.39341755545240614	0.3341281746214189	0.32683188624425075	Renal
APOC4	0.18728073571982254	0.407176693316208	0.3816381213383688	0.3253651834581331	Renal
IC1	0.1285891418910266	0.35154888320702277	0.4679148277030625	0.3160176176003706	Renal
HABP2	0.30305314810697764	0.5217627844608136	0.11610345805915759	0.31363979687564963	Renal
CATD	0.33063263033178336	0.23638023896538746	0.3508173820139278	0.3059434171036995	Renal
NRP1	0.49327685029084034	0.21552019468924366	0.20580648805128146	0.3048678443437885	Renal
ACTS	0.27905184344305267	0.49569036153919255	0.13851014710427728	0.3044174506955075	Renal
LUM	0.14019010161354245	0.2963526881461857	0.4726017093495675	0.3030481663697652	Renal
A1AG2	0.11498319302840428	0.31470828029783215	0.443395251420145	0.2910289082487938	Renal
THBG	0.325161419169604	0.24833568084128688	0.29837925011898164	0.2906254500432908	Renal
APMAP	0.19500812337603798	0.4368616568751824	0.23010630907555346	0.2873253631089246	Renal
MA2A1	0.2854058988251855	0.18155220207505687	0.3900594796261003	0.28567252684211425	Renal
CRAC1	0.1301877248474744	0.2609731713106341	0.45604196360736543	0.28240095325515796	Renal
CD14	0.37516526088119295	0.162051224857242	0.30822078824684246	0.2818124246617591	Renal
H4	0.30721256097625627	0.24106987986069975	0.2933251186812168	0.2805358531727243	Renal
ITA2B	0.4115886048797267	0.33124507446466217	0.09647597888886414	0.279769886077751	Renal
ANGI	0.24029404663455178	0.26889056972170516	0.3136997509813557	0.2742947891125376	Renal
URP2	0.1150989033539852	0.24626377041356046	0.4585280566287386	0.27329691013209473	Renal
ICAM2	0.23660109738077947	0.3241211827483275	0.24987969416338665	0.2702006580974979	Renal
C1S	0.2010652746439541	0.30257451153956066	0.30483749904658053	0.2694924284100318	Renal
SHBG	0.24364469790693175	0.07591886154158829	0.4886086801787476	0.26939074654242257	Renal
LG3BP	0.1927956578293574	0.3748238751996473	0.23751950726294913	0.26837968009731794	Renal
AFAM	0.4232916156257688	0.15062201353540763	0.2293686582955998	0.26776076248559205	Renal
C163A	0.0871102305797375	0.238713236359052	0.4755364201972113	0.2671199623786669	Renal
ATRN	0.3689373148403863	0.3067371861833783	0.1136086192686906	0.2630943734308184	Renal
PCSK9	0.5057826420723454	0.09053160938268066	0.18511869433587272	0.26047764859696626	Renal
FBLN5	0.2797482679233892	0.18217436758638703	0.31759974914116296	0.25984079488364636	Renal
CADH1	0.11410445003392058	0.3808430075588586	0.27610772288476404	0.2570183934925144	Renal
MASP1	0.1244951835724271	0.17807259444581633	0.46650826621021363	0.25635868140948564	Renal
EPCR	0.4948325306249199	0.22229163828465592	0.049874863408359685	0.2556663441059785	Renal
ADIPO	0.10483303362129022	0.3707536949300314	0.2839261165928542	0.2531709483813919	Renal
KLKB1	0.2553255735438796	0.19180843843288584	0.3119399668249378	0.2530246596005677	Renal
CALM1	0.16401069641399674	0.3526256814500672	0.2314440875013206	0.24936015512179485	Renal
HS90A	0.5217561401198846	0.14554265136398462	0.07579796514107981	0.247698918874983	Renal
CNDP1	0.30390169116949967	0.10288151515882775	0.33412143313788756	0.246968213155405	Renal
BIP	0.21467836520622485	0.26012900849729426	0.2660073889281154	0.24693825421054483	Renal
FHR3	0.12977449898999427	0.3913435270957237	0.21675670863680188	0.24595824490750662	Renal
DOPO	0.27872992239934147	0.2732479279632994	0.18449365105470808	0.24549050047244966	Renal
CFAH	0.22146371892258612	0.22423999322839738	0.28645013107505407	0.24405128107534582	Renal
LYAM1	0.2458417940105786	0.252114883879353	0.22531614554800483	0.24109094114597882	Renal
MUC18	0.09976168470886611	0.31603286052541596	0.30457835627766705	0.24012430050398303	Renal
VTDB	0.20239355221639518	0.27649020596340323	0.23770644928349835	0.2388634024877656	Renal
APOA4	0.09598926877658917	0.3785570102274225	0.24073459317198176	0.23842695739199782	Renal
HBE	0.38174564043079895	0.0825159516921094	0.24991233480559508	0.23805797564283449	Renal
A1AG1	0.2016090768896199	0.14425937890258606	0.3598319961316775	0.23523348397462782	Renal
TSP1	0.3421813983258554	0.23709392516477237	0.12003778112788893	0.23310436820617228	Renal
NCHL1	0.07118069679753321	0.21755122955130735	0.40569692747644776	0.23147628460842942	Renal
HSP7C	0.2776674669402544	0.31035106881752256	0.09826044639606975	0.22875966071794893	Renal
A2GL	0.5390037026855707	0.0677662441432115	0.07811471465353775	0.22829488716077337	Renal
CO6	0.31816129167440355	0.20507278261822137	0.15980822290766986	0.22768076573343157	Renal
PLMN	0.5059137623721136	0.011865651437892737	0.16521311393488838	0.2276641759149649	Renal
FINC	0.11368474101809795	0.2229441433248744	0.34275442161194325	0.22646110198497185	Renal
PEDF	0.12119927736682888	0.30912968278210073	0.2490231198690089	0.22645069333931286	Renal
CD44	0.023953779622488586	0.4262071375030388	0.21447943615870793	0.22154678442807843	Renal
CPN2	0.33187707274485734	0.27065597755017773	0.05160341923135245	0.21804548984212915	Renal
KPYM	0.2178844314320589	0.198029369115781	0.23696123677073413	0.21762501243952467	Renal
FHR4	0.07556335314709499	0.1612400780120389	0.403921391420249	0.2135749408597943	Renal
CFAB	0.11253965991721557	0.10813042886554756	0.41894534829414143	0.2132051456923015	Renal
BGH3	0.40258802296419666	0.17464740907512083	0.05446520032861046	0.210566877455976	Renal
NOE1	0.34098236502239393	0.26723245498621523	0.012297664259704744	0.2068374947561046	Renal
VASN	0.05877689834327503	0.27617512975026753	0.2823626973816858	0.20577157515840946	Renal
SODC	0.1316899143586494	0.31902134903764523	0.16363936223207443	0.20478354187612302	Renal
HEP2	0.1371465519916512	0.3132890587391555	0.1633547496378015	0.20459678678953608	Renal
FCG3A	0.28202551287043737	0.07005631770979794	0.261595906307928	0.20455924562938776	Renal
CBPN	0.4814350361093472	0.027989781117699022	0.10244036950359582	0.20395506224354734	Renal
FHR1	0.14216399081579198	0.28534972712011614	0.18256863337984827	0.2033607837719188	Renal
ENPL	0.29371179477019127	0.3074228226520999	0.0056489492541171955	0.2022611888921361	Renal
PON1	0.23188012073481062	0.2010774530717972	0.1737922033370015	0.20224992571453645	Renal
CO8G	0.06929564810409555	0.18185079918535393	0.3525120997784898	0.20121951568931307	Renal
NCAM1	0.29531867875612	0.004416827429547092	0.3001859870635571	0.19997383108307473	Renal
RAP1B	0.3422399694595275	0.13946454032461666	0.11200935469198131	0.19790462149204183	Renal
KAIN	0.125684939750247	0.4492946439990656	0.015270792334588248	0.1967501253613003	Renal
CO4A	0.16847399951565553	0.1903058460960111	0.22453493371180397	0.19443825977449022	Renal
PROZ	0.22871990633531686	0.24798418166353942	0.10534936529297124	0.19401781776394253	Renal
ALDOB	0.1872803122373215	0.06486300330798937	0.32893671685979964	0.19369334413503683	Renal
PROS	0.1726296516124886	0.2954651202279896	0.10563539941895946	0.19124339041981256	Renal
CXCL7	0.09596723127088642	0.21963778009433918	0.2566770533746674	0.19076068824663098	Renal
PROP	0.1067587375764821	0.1512242168808082	0.3075703007701515	0.18851775174248062	Renal
CALR	0.17223984961508915	0.16868771318464704	0.2226912456314751	0.1878729361437371	Renal
CRIS3	0.2042945595425621	0.35738004164130055	0.00046987733437497254	0.18738149283941255	Renal
PRG4	0.19172469910741252	0.09257993214199207	0.2764836834171217	0.18692943822217542	Renal
TTHY	0.20812943550662397	0.22184249352472613	0.12891405794556668	0.18629532899230558	Renal
FCN3	0.12603447155860442	0.33268493917994724	0.0969153197158744	0.18521157681814202	Renal
CETP	0.10722383409799524	0.25111623427536095	0.19532696275522013	0.18455567704285877	Renal
TRFE	0.04204120828880295	0.29249181991108913	0.20913247649305597	0.18122183489764934	Renal
CO6A1	0.13858450063454514	0.1255761127835761	0.27424731929355445	0.17946931090389193	Renal
SAA4	0.10130775633946433	0.3863756305083612	0.047599389668395053	0.17842759217207352	Renal
FUCO	0.026218841212824483	0.3260562697980313	0.1801169514911869	0.17746402083401422	Renal
HGFA	0.16540946953595695	0.024628477481186673	0.3369270738913922	0.17565500696951195	Renal
PPIA	0.2007891469597917	0.07757076409326528	0.24269195503471508	0.1736839553625907	Renal
SPP24	0.07353062933967866	0.35192746064886565	0.09485540091159698	0.17343783030004709	Renal
ACTN4	0.18613732634066932	0.10809126646333145	0.22586992901838235	0.17336617394079437	Renal
CAMP	0.36727729495346906	0.06151218964179143	0.08933773346383769	0.17270907268636607	Renal
FLNA	0.09777718181874354	0.15232947511456474	0.26753226306217126	0.17254630666515983	Renal
LBP	0.0404577710884735	0.14399661548160647	0.33127728092973174	0.17191055583327056	Renal
G3P	0.1023103736061988	0.22359724013131782	0.1885323235518759	0.17147997909646417	Renal
CD5L	0.35235945650134887	0.13194188865051273	0.02834022097841094	0.1708805220434242	Renal
TRY1	0.13514112728108305	0.03780090613748831	0.3352514896415614	0.1693978410200442	Renal
IPSP	0.2385767123658183	0.036424273097772325	0.23065833400606656	0.16855310648988575	Renal
KRT85	0.13165686948434813	0.2383298918364283	0.13219462364041262	0.16739379498706305	Renal
RNAS1	0.07683320580911962	0.3549957863562789	0.06515397485087908	0.16566098900542586	Renal
FA9	0.0026266869405193985	0.35879523443049743	0.13529190549617578	0.1655712756223975	Renal
CADH5	0.1392066729807254	0.31086047396450445	0.04471019550941948	0.16492578081821643	Renal
C1QC	0.12817242878151328	0.17542324312963106	0.18840188254313234	0.16399918481809223	Renal
PEBP4	0.22044169007613945	0.0645596070140625	0.2035885297516959	0.16286327561396594	Renal
PLF4	0.15373247656779396	0.1281594206642743	0.19016047939251227	0.1573507922081935	Renal
IL1AP	0.12002038397521295	0.22874105863734076	0.12063774293351114	0.15646639518202163	Renal
GELS	0.05488786014718076	0.19010867852471747	0.21864494211423108	0.1545471602620431	Renal
APOL1	0.23152801850029797	0.04045068494438483	0.19004686332718318	0.15400852225728864	Renal
MBL2	0.2852624115931573	0.015899205941824764	0.15860325387289093	0.15325495713595766	Renal
PDLI1	0.1156686881340922	0.1555885102966149	0.18573358412713747	0.15233026085261486	Renal
FA10	0.08056769382489586	0.11985938953170494	0.252614920661755	0.15101400133945195	Renal
VWF	0.17844269353723866	0.11654955740483391	0.15641922780247855	0.15047049291485037	Renal
ANGT	0.04604073713650305	0.3555553720602653	0.049498944878449525	0.1503650180250726	Renal
A1BG	0.06212886222240567	0.23307229815921598	0.15562500219694106	0.15027538752618755	Renal
HLAB	0.02616711624329604	0.21181730513212235	0.212374460968862	0.15011962744809346	Renal
