feature	importance 0	importance 1	importance 2	importance 3	importance 4	importance 5	importance 6	importance 7	importance 8	importance 9	Mean Importance	Panel
APOA4	1.4613212237868385	1.2541729825637167	1.2262437842872238	1.1624066478700963	1.287387920591567	1.1957758649660435	1.1003680796057727	1.240765316896158	1.134244921205449	1.234594759746035	1.22972815015189	Respiratory
PLTP	1.1114826622998697	1.3721334885284822	1.0424356539794593	1.143422149463031	1.0971727634770316	1.1536676339645635	0.9586458245496402	1.0876327114123956	1.1666724114427716	1.0182823081605503	1.1151547607277794	Respiratory
KRT85	0.8362378478934259	0.9633685949003885	1.0919906212504775	1.0144887071140656	1.0441408852491367	1.2384328491795584	1.0049469073210886	1.1924785125426074	1.0949909361404448	1.2597462335333325	1.0740822095124527	Respiratory
CPN2	0.9295855341441606	0.9323744732755508	1.1200246127214721	1.251591428868838	0.9703171157570628	0.8823787022496141	0.8076286299900434	1.0703661998685559	1.0900494886522722	0.976935148714249	1.003125133424182	Respiratory
ACTN1	0.9469457035633753	1.014753735404176	0.9443491313563197	1.009493364153826	0.9497025908290183	1.0328384234217542	0.9819714512865949	0.8634023740355926	1.1952373786075634	0.9406172874485275	0.9879311440106747	Respiratory
THRB	0.7323017952370988	1.0266899296762562	0.8808417780280936	0.723968547728968	0.8941172588539877	0.9242157645279792	0.9502919690801539	0.8258153708497447	0.991971713181998	0.9963888762605225	0.8946603003424803	Respiratory
PSPB	0.9605840008240766	0.9009672879621294	0.8391328716141209	0.7822689027526796	0.9081617038426161	0.9695420849305358	0.9754675641390727	0.826074888028928	0.8366702341300715	0.8719839357000603	0.8870853473924291	Respiratory
ATRN	0.7600323528259348	0.8762356397877343	0.9492741236380269	0.8850125835911056	1.1193539270713198	0.7872727864558177	0.9494574723966582	0.7353553208757376	0.8059750497586394	0.8228519750725954	0.8690821231473569	Respiratory
CHLE	0.8885774374573822	0.7360560781696315	0.9645815451248481	0.8009090527662308	0.8215717703882609	0.8420352770612283	0.9200701340919667	0.9632926709469011	0.863950858339567	0.8805428585583827	0.8681587682904398	Respiratory
URP2	0.829346154581347	0.809848831514701	0.8268928665239829	0.8946574859479155	0.8560332593071123	0.6839414760657738	0.8042286419367761	0.9802610243222194	0.8196041964105206	0.8489155949849023	0.8353729531595253	Respiratory
