	Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
0	GO_Biological_Process_2023	Platelet Aggregation (GO:0070527)	8/35	6.447501965008088e-13	4.680886426595871e-10	0	0	86.69716775599129	2433.5819948701555	FGB;FGA;FGL1;FGG;FLNA;PPIA;VCL;ACTG1
1	GO_Biological_Process_2023	Homotypic Cell-Cell Adhesion (GO:0034109)	8/46	6.914303825417503e-12	2.5098922886265542e-09	0	0	61.56656346749226	1582.1023831296836	FGB;FGA;FGL1;FGG;FLNA;PPIA;VCL;ACTG1
2	GO_Biological_Process_2023	Blood Coagulation, Fibrin Clot Formation (GO:0072378)	5/14	1.350906624474393e-09	2.4518955234210237e-07	0	0	155.82942097026603	3182.4247752984525	FGB;FGA;FGG;FLNA;FBLN1
3	GO_Biological_Process_2023	Protein Activation Cascade (GO:0072376)	5/14	1.350906624474393e-09	2.4518955234210237e-07	0	0	155.82942097026603	3182.4247752984525	FGB;FGA;FGG;FLNA;FBLN1
4	GO_Biological_Process_2023	Negative Regulation Of Peptidase Activity (GO:0010466)	7/60	2.8346338681254092e-09	4.115888376518095e-07	0	0	38.035821711785616	748.5964358524916	CST3;SERPINA3;SERPINA1;SERPINA10;TIMP1;GAPDH;CTSB
5	GO_Biological_Process_2023	Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900024)	6/51	3.8716443061892915e-08	4.6846896104890425e-06	0	0	37.864761904761906	646.2379460230701	FGB;FGA;FGG;FLNA;FBLN1;CALR
6	GO_Biological_Process_2023	Negative Regulation Of Endopeptidase Activity (GO:0010951)	6/66	1.8673001390966865e-07	1.660650598901408e-05	0	0	28.377142857142857	439.6641584387969	CST3;SERPINA3;SERPINA1;SERPINA10;TIMP1;GAPDH
7	GO_Biological_Process_2023	Cell-Matrix Adhesion (GO:0007160)	7/109	1.8859965610977674e-07	1.660650598901408e-05	0	0	19.714975845410628	305.2595746040176	FGB;FGA;VCAM1;FGL1;FGG;FBLN5;VCL
8	GO_Biological_Process_2023	Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900026)	5/35	2.0586577672331506e-07	1.660650598901408e-05	0	0	46.69953051643193	718.9879075183374	FGB;FGA;FGG;FLNA;CALR
9	GO_Biological_Process_2023	Negative Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902042)	4/23	1.6136315572905254e-06	0.00011714965105929214	0	0	58.20175438596491	776.2381539638832	FGB;FGA;FGG;ICAM1
