Protein	ProteinLabel	DEScore2-1	Group2Mean	Group1Mean	Group2Stdev	Group1Stdev	Log2FoldChange2-1	PValue2-1	Group2RepCounts	Group1RepCounts	CorrectedPValue2-1	-Log10CorrectedPValue2-1	SA_BOX_11-710_S4-B7_1_6350	SA_BOX_3-1635_S4-D12_1_5607	SA_BOX_15-307_S4-C5_1_6726	SA_BOX_15-721_S4-H3_1_6715	SA_BOX_2-2560_S2-B6_1_6928	SA_BOX_8-1572_S5-C9_1_6072	SA_BOX_12-705_S5-C3_1_6416	SA_BOX_3-1828_S4-C4_1_5541	SA_BOX_10-2534_S2-A4_1_6226	SA_BOX_3-2549_S4-C11_1_5598	SA_BOX_14-3_S2-D2_1_6605	SA_BOX_1-239_S1-B2_1_6798	SA_BOX_9-452_S1-G8_1_6167	SA_BOX_12-2284_S5-F10_1_6476	SA_BOX_14-2510_S2-H6_1_6641	SA_BOX_2-1178_S2-F1_1_6892	SA_BOX_4-2457_S5-A10_1_5686	SA_BOX_15-837_S4-B6_1_6733	SA_BOX_3-937_S4-H1_1_5522	SA_BOX_8-885_S5-A7_1_6054	SA_BOX_13-2067_S1-A12_1_6585	SA_BOX_9-690_S1-H4_1_6135	SA_BOX_15-1159_S4-B12_1_6782	SA_BOX_14-2433_S2-G6_1_6640	SA_BOX_4-2508_S5-G1_1_5619	SA_BOX_15-2499_S4-G11_1_6779	SA_BOX_13-244_S1-D7_1_6548	SA_BOX_12-2619_S5-E6_1_6442	SA_BOX_8-283_S5-D1_1_6008	SA_BOX_15-2695_S4-B11_1_6774	SA_BOX_7-2345_S4-D5_1_5942	SA_BOX_10-1080_S2-D10_1_6278	SA_BOX_13-311_S1-D10_1_6572	SA_BOX_13-877_S1-D11_1_6580	SA_BOX_13-121_S1-A9_1_6561	SA_BOX_14-1676_S2-H7_1_6650	SA_BOX_9-384_S1-A1_1_6104	SA_BOX_15-2542_S4-H1_1_6699	SA_BOX_13-2493_S1-D6_1_6539	SA_BOX_10-369_S2-B11_1_6284	SA_BOX_9-1746_S1-F1_1_6109	SA_BOX_9-1849_S1-C9_1_6171	SA_BOX_6-906_S2-B3_1_5826	SA_BOX_13-342_S1-B11_1_6578	SA_BOX_4-871_S5-B4_1_5638	SA_BOX_7-2405_S4-E11_1_5992	SA_BOX_10-2497_S2-A12_1_6291	SA_BOX_9-401_S1-A6_1_6144	SA_BOX_2-2419_S2-C8_1_6946	SA_BOX_7-230_S4-B11_1_5989	SA_BOX_12-683_S5-A3_1_6414	SA_BOX_7-1869_S4-F6_1_5952	SA_BOX_14-2401_S2-A1_1_6594	SA_BOX_1-24_S1-H9_1_6861	SA_BOX_10-761_S2-E8_1_6263	SA_BOX_2-2354_S2-D8_1_6947	SA_BOX_6-746_S2-E6_1_5853	SA_BOX_3-697_S4-A6_1_5555
P02671	FIBA_HUMAN	0.3189228920158614	19.496245412955993	19.365462900863513	0.1672830953508427	0.2672755179833902	0.13078251209248037	0.07820927841208196	16	42	0.6039763968200931	0.2189800331190731	19.492143108674085	19.534051713905587	19.56055776386106	19.368655425192756	19.52711320690325	19.42208300393277	19.40423670512784	19.86131830186223	19.927218020585425	19.96436972651715	19.70881219595512	19.45645847002417	18.905147926373616	19.51753382072062	19.234662408520848	19.45044465358993	19.426850544246054	19.281614458489877	19.22379144951852	19.381776693774587	19.38058617261966	19.413997982000417	19.17212756582976	19.49691321569516	18.77235108786373	19.662888119757163	19.548216222856407	19.27772310024424	19.26960015600212	19.326048470340737	19.01127353997549	19.71092381958008	19.529825489185985	19.38166987853266	19.58596864119497	19.379820070501616	19.53785238792661	19.348196122564424	19.195465961250687	19.253461818980853	19.26511789311324	19.331923754400933	19.33333780145304	19.639647483281585	19.481067602909302	19.23070545472631	19.405472087795317	19.64269638511867	19.691598275749985	19.150948271617597	19.74389887687171	19.324314323893606	19.091716008695716	18.61371101157092	19.521402965845866	19.600167040491627	19.28229793199624	19.0355958533536
P02787	TRFE_HUMAN	0.11542297926360813	19.593933611400416	19.655404727750298	0.16766293580742164	0.26563935030380537	-0.06147111634988178	0.4003265312161929	16	42	0.8390341274581071	0.07622037401598873	19.921988826407016	19.35897758486037	19.64394572239774	19.659076831279656	19.17564947412224	19.79936697256036	19.682852343490424	19.46903552627799	19.82310311043748	19.55666692100905	19.38465021621503	19.638035951396297	20.23823857288223	18.772411703115125	19.57350980532119	19.32936819374943	19.570302770633493	19.5463428627533	19.838420116544707	19.158374288289476	19.551154318423485	19.575133450204216	19.909249553462896	19.793488082034138	19.7382704455422	19.411256009092995	19.494072825377543	19.444040078027264	20.009672339412223	19.56704240023309	19.97844581580945	19.69580995421264	19.64044069406	19.551248748218537	19.691880554857544	19.704709830124543	19.154114319267663	19.690957822699293	19.89921495961992	19.761705938541947	19.81495524587507	19.905263291793997	19.58355718099056	19.51884172532997	19.673653412157822	19.577036676299244	19.594066447490626	19.436756657178023	19.716868483793267	20.03248201270526	19.38085180760741	19.5475541046332	19.850510427588304	19.892545889034107	19.71950313031893	19.74188392517048	19.764703555435084	19.876676441553684
P08603	CFAH_HUMAN	0.15336317557860446	17.29889119893319	17.192635569372506	0.3358347957751309	0.3421093065977146	0.10625562956068535	0.3009433103071646	16	42	0.7605951012361376	0.11884647607532364	16.95473225612661	18.003611017955027	17.249394198873528	16.8951714666962	17.2673469715091	16.914650476131648	16.698252096759624	17.739303332123907	17.16136556712145	17.802237752773344	17.41937796076599	17.31825190584936	16.80551402996652	16.697132504036198	16.64906231194489	17.128933025573083	17.523240169042598	16.956518716143023	17.47976657114024	17.45953981856939	17.063094720121555	17.335884207563765	16.689184737182455	17.54779585232739	17.64927166997829	17.07156093426313	17.12279410534114	17.341013963493705	17.517460646593857	16.792263973950828	17.30984660853284	16.998640100316223	16.53957936221221	17.403986578847835	17.209339850464218	17.51017095744181	16.785402427528375	16.825750020509307	17.066082413538858	17.30849965735436	16.725167629957475	17.672374159348642	17.80225159907471	17.255727080144386	17.50919922248576	17.322906737515968	17.839868062611963	17.003156390676224	17.01691595878781	17.320048820744997	17.418883907172148	17.43570086317564	17.21200257351694	16.608375549780707	17.292415595235497	17.17645566004809	17.557892361395215	17.492585988240286
P00450	CERU_HUMAN	0.030311994131180683	17.429945619519344	17.402992281164238	0.22855000218574265	0.37542516912622054	0.026953338355106382	0.7926337278776436	16	42	0.979491427324006	0.008999360671972517	17.261614186029963	17.712289768180984	17.379732995093143	17.29952567552576	17.604088780540255	17.688741400013665	17.5522614424569	17.84800394207109	17.637591541796713	17.55252557916276	17.972834295278364	17.203428129089215	17.331686250101434	16.726088092906775	16.86812871582283	17.559769723837874	17.572595038066122	17.181806296978664	18.49078252738073	17.283043942967648	17.43860013896215	17.04167806672739	17.060223856184795	17.80096514625203	17.387329952443192	17.33477349581507	17.665693958512676	16.822295244720962	18.027985041303275	17.3169534829289	17.73898546621143	17.46019630980302	17.274950616282286	17.33639906151752	17.567204390671137	16.742546154304016	16.866695561059274	17.00479852810043	17.46927099859036	17.31600696146574	17.173194488707818	17.58146796912622	17.61147495433391	17.41465052983731	17.493049336546576	17.409517858605533	17.449976690237058	17.514069169670666	17.6167443600411	18.023066575717007	17.55046085424198	17.583497275105483	17.18971390075772	16.732793644996985	16.883364983395193	17.42857034606103	17.12061908252293	17.628482946146466
P06396	GELS_HUMAN	0.015206144452132524	14.916026467455406	14.933466412628366	0.3830261614791584	0.453228741653333	-0.01743994517295988	0.8938086338866414	16	42	0.9849443437458861	0.006588309489142947	15.355739842903	15.24279635171886	14.683702592547416	15.025494977624865	14.828393374192435	15.213107510655751	14.509618095709293	14.707745282550864	15.244932705615742	14.417361636886014	14.321060812140852	15.4657834746196	15.58057391018436	14.26934006836576	15.04665686745916	14.526935894065984	14.830985236747658	14.696093198048157	14.798285314991634	14.978914379627923	14.66302455535086	14.176983633609188	15.15552591483867	14.38157556235868	15.085045724848747	14.436762422286678	15.243257198805736	14.12710231682889	15.266459865511829	14.994474722684377	15.14730598309867	14.057832525872392	14.839836433858808	14.492590984259326	14.79229833598674	15.131304277411465	14.303772268662916	14.742958942391224	15.257717421281336	15.00790073603152	14.893825221035138	15.367747335903328	15.368658872045188	14.845573770968644	15.497898672053546	15.32985704120268	14.90686417870423	13.64974521441355	15.487242519065296	15.319806548798145	15.058629011854451	15.321379199925053	15.234408593100454	15.82480154251811	14.865699907837252	15.142921702862544	15.405665111864922	15.29403701289198
P04275	VWF_HUMAN	0.3908490592023876	14.618763960638637	14.202515210287183	0.6569803224908581	0.7243722795436952	0.41624875035145337	0.05369948602511148	16	42	0.6039763968200931	0.2189800331190731	14.518042882571088	14.140081421079053	14.400500230573334	13.461895306379692	14.595306599868586	14.366667703539322	14.323444198998963	14.80236456646116	16.60091745783738	15.378294472644164	14.251925430124436	15.22538921070068	14.295340404385996	14.69024225768644	13.610997455028498	14.623342439576314	14.226252708429673	14.476308577347428	15.848817413804808	13.826677600231118	13.406605695142687	14.851455649830127	14.052431208100868	13.835174680392042	13.50361734921681	13.755894124585884	14.531529332947311	13.319351728469684	14.246030035513431	13.720212821476151	14.05217494071094	14.480650137713656	15.369563008040792	14.902088232232366	15.461574636401458	14.364908181529998	15.639354522989034	14.379445521094665	13.34676593938898	14.001128399210074	14.2854580598499	15.217489603704813	14.753631211735236	14.034704291010147	14.887578512721763	14.753410187207706	13.885397111418218	13.86352286915148	14.266699521193212	13.436954438083738	14.817903862033036	14.869592671275091	13.66898698234506	12.27332847510435	13.759341505494314	13.540965748064751	13.564927673177168	13.643204996454743
P10643	CO7_HUMAN	0.05591013806175341	14.760219939954867	14.69107820772153	0.3665567672034396	0.5844531097229483	0.0691417322333372	0.6662296570516852	16	42	0.9300031231037472	0.03151559301117627	14.799148623386811	15.69164345484259	14.474174208966618	14.193376727989849	14.7825960815798	14.556415729892098	14.687798353257213	15.407369330971594	15.074088005805669	15.738822217148638	14.969328574131069	14.624273461420268	14.420255362063884	14.645082084888475	13.82827765581698	15.158959258409462	14.60532916510907	14.461593150058272	15.615468804813249	14.884721002908089	14.06396964431122	15.271607397119704	14.26604510848461	14.99764377294754	14.64523457803719	14.817795507746489	14.566218925970611	14.228804169917415	15.67144553510354	14.787188466331097	14.891778409611844	14.53290552566455	14.46925442158443	14.37532197947806	14.750262277273734	14.117631504722436	15.283676857743714	13.685851488647366	14.458071011833898	15.167599470769792	14.37570745617466	15.13164527233445	13.47031105552317	13.941998998732986	14.78604386165926	15.521835938876103	14.685800664207598	14.32642681525996	14.663825512566143	15.990657554324637	14.676026469003098	15.272639578775328	14.44840093289459	13.904868976764927	14.990080067230084	13.792271669081284	14.452373765171792	15.090861868243088
P01023	A2MG_HUMAN	0.06974885516023577	19.014467486830362	19.0717246728688	0.39701051472343424	0.3260426075735014	-0.05725718603843788	0.5832990575396659	16	42	0.8990781642877099	0.04620254982052577	19.57789805958584	19.157228226064586	18.95460957146816	18.80459415675104	19.217837006035055	19.17589463819373	18.40679154163452	18.945664836307145	19.08815423795055	19.376934246890745	18.78552746014441	19.59902310556071	19.50087466728891	19.145858087955837	18.72532331495055	19.20256672033659	19.335161331112488	19.30126592204255	19.191492265541942	18.943539669293365	18.42710575575766	19.64194702122677	18.34882754791908	19.199771028603585	18.818372824283053	19.16329364061681	19.08938058804373	18.136418049097	19.292647649477715	18.78494061664932	19.492066926610377	18.85120243098944	18.988592756991896	19.303820388842997	18.59940129976962	19.07426349078902	18.51564671482765	18.8009640920025	19.457370847859806	19.4373927751959	19.02666827407461	19.87601459256316	18.836169094627422	18.507052576146137	19.128515887933965	19.219847484795807	19.18050203177693	19.478652230901957	18.99250743493917	19.178928661362978	18.934941074605376	19.042864820875337	19.2972911367605	19.06543934149264	18.90166997153894	19.0934434986398	18.4539761034406	19.16976632263744
P00738	HPT_HUMAN	0.3441904702010026	19.575628999830954	19.378781727899455	0.33756679192646094	0.35565544508922553	0.19684727193149953	0.06572673469894945	16	42	0.6039763968200931	0.2189800331190731	19.087844738072235	19.44704611382097	19.579795568177072	19.68007086293603	19.49026572030112	19.54651245446025	19.07912078679709	19.8261956054344	19.67908474557881	19.73194253217653	19.828528310587508	19.229310569126746	19.51954642393782	19.986605443143542	19.74119315389228	19.582241539480407	19.46314274707221	19.479077027761573	19.09614924002014	19.439458437390503	19.884106318728897	19.584230224462324	19.779066493825752	19.70896387444091	19.072360522827555	19.08982029355568	19.788719080458613	19.42247620043283	19.013284262890483	19.607516596385725	19.340432299888658	20.006274263479533	19.83006592985156	19.84616539203982	19.85355883324323	19.553537529991686	19.658128695860555	19.551218516944328	19.07665539086277	19.61339771392087	19.623536985346924	18.563854479721225	19.23983921899888	19.903833151583747	18.80017304601251	19.164225222138658	19.626256862615595	18.856660653851463	18.6108149500105	18.57904880049828	19.624567317794632	19.37376474223938	19.47178380215252	18.686165781434823	19.45561392247879	19.456444897821388	19.28892526957077	19.00027701054334
P08697	A2AP_HUMAN	0.16764222390803768	14.944746917262965	14.829717622390499	0.352943942932913	0.34126735095714905	0.11502929487246583	0.2688932430749432	16	42	0.7479600086022689	0.12612162206556685	15.08584756133371	15.277610815942484	14.88830073087592	14.65212246463904	14.795665679252055	14.883962778501054	14.480786306062123	15.979469805000283	14.334503965965302	15.87269544887221	14.781692207211837	14.832899427411776	14.852154547853347	14.688585896380632	14.352146080460354	15.116026597308968	14.70080019057268	14.385005546950016	15.20549153480752	14.261470715430203	15.176517529146498	15.175524263439128	14.148886711769594	14.87595761191289	15.261308977020802	14.59875120117033	14.672308261400458	14.895572723265245	14.8155148384124	14.383815579413683	14.930242537502613	15.071086617030977	14.750474755743758	14.767175493125032	14.89318380719162	14.61086647367699	14.442279307134912	14.635795169711	14.454438254579708	14.899094398879225	14.659891387505107	14.532158633298335	14.97770576684877	14.912247334611187	14.991593479183296	14.789673951407831	15.317948862090878	14.818938130961788	15.21999827123323	15.070160355265282	15.154176013914086	15.063055678364536	14.897697388616464	15.181507473295143	14.45332099756216	14.920470138992188	14.742196658151492	15.375317482948113
