Protein	ProteinLabel	DEScore2-1	Group2Mean	Group1Mean	Group2Stdev	Group1Stdev	Log2FoldChange2-1	PValue2-1	Group2RepCounts	Group1RepCounts	CorrectedPValue2-1	-Log10CorrectedPValue2-1	SA_BOX_13-2054_S1-C5_1_6530	SA_BOX_2-2369_S2-C5_1_6921	SA_BOX_2-198_S2-A12_1_6976	SA_BOX_8-1672_S5-C11_1_6088	SA_BOX_7-881_S4-E2_1_5919	SA_BOX_14-2329_S2-H3_1_6617	SA_BOX_8-776_S5-G7_1_6060	SA_BOX_13-2658_S1-A2_1_6504	SA_BOX_14-833_S2-B10_1_6668	SA_BOX_15-2255_S4-D8_1_6752	SA_BOX_15-1999_S4-A10_1_6765	SA_BOX_10-324_S2-G6_1_6248	SA_BOX_13-1964_S1-B12_1_6586	SA_BOX_13-1670_S1-F6_1_6541	SA_BOX_13-948_S1-D9_1_6564	SA_BOX_12-876_S5-H5_1_6437	SA_BOX_1-823_S1-B12_1_6879	SA_BOX_8-688_S5-G10_1_6084	SA_BOX_6-2233_S2-E8_1_5870	SA_BOX_7-841_S4-D8_1_5967	SA_BOX_1-89_S1-F9_1_6859	SA_BOX_6-2365_S2-H6_1_5856	SA_BOX_3-2026_S4-G11_1_5602	SA_BOX_9-119_S1-F11_1_6190	SA_BOX_9-1570_S1-G3_1_6126	SA_BOX_11-875_S4-A8_1_6357	SA_BOX_9-157_S1-F4_1_6133	SA_BOX_5-2059_S1-F8_1_5773	SA_BOX_15-657_S4-C10_1_6767	SA_BOX_7-1659_S4-A2_1_5915	SA_BOX_10-1943_S2-B12_1_6292	SA_BOX_7-661_S4-C7_1_5958	SA_BOX_15-2608_S4-G5_1_6730	SA_BOX_13-2424_S1-H8_1_6560	SA_BOX_9-1963_S1-C6_1_6146	SA_BOX_15-837_S4-B6_1_6733	SA_BOX_8-691_S5-E9_1_6074	SA_BOX_9-821_S1-E2_1_6116	SA_BOX_6-2470_S2-F8_1_5871	SA_BOX_4-1725_S5-C6_1_5655	SA_BOX_3-888_S4-A7_1_5564	SA_BOX_1-2437_S1-A5_1_6821	SA_BOX_1-1096_S1-C9_1_6856	SA_BOX_15-2517_S4-H6_1_6739	SA_BOX_5-667_S1-A11_1_5792	SA_BOX_6-1970_S2-G1_1_5815	SA_BOX_14-2185_S2-D3_1_6613	SA_BOX_9-2092_S1-B11_1_6186	SA_BOX_13-2620_S1-G4_1_6526	SA_BOX_7-713_S4-C5_1_5941	SA_BOX_8-544_S5-H8_1_6069	SA_BOX_6-597_S2-G2_1_5823	SA_BOX_5-45_S1-B6_1_5752	SA_BOX_10-258_S2-C6_1_6244	SA_BOX_15-2499_S4-G11_1_6779	SA_BOX_4-2013_S5-E9_1_5682	SA_BOX_9-477_S1-C12_1_6195	SA_BOX_8-185_S5-C8_1_6064	SA_BOX_12-2619_S5-E6_1_6442	SA_BOX_3-730_S4-G1_1_5521	SA_BOX_14-872_S2-F6_1_6639	SA_BOX_11-166_S4-A5_1_6332	SA_BOX_7-1986_S4-C2_1_5917	SA_BOX_14-2355_S2-B12_1_6684	SA_BOX_5-944_S1-D4_1_5738	SA_BOX_1-2690_S1-F3_1_6810	SA_BOX_15-2695_S4-B11_1_6774	SA_BOX_4-1957_S5-H9_1_5685	SA_BOX_1-2438_S1-D3_1_6808	SA_BOX_13-312_S1-D2_1_6507	SA_BOX_10-2176_S2-E3_1_6222	SA_BOX_7-2345_S4-D5_1_5942	SA_BOX_2-2402_S2-H9_1_6959	SA_BOX_2-609_S2-C7_1_6938	SA_BOX_1-2408_S1-H3_1_6812	SA_BOX_3-2680_S4-H6_1_5562	SA_BOX_13-1956_S1-F2_1_6509	SA_BOX_12-723_S5-D12_1_6490	SA_BOX_13-311_S1-D10_1_6572	SA_BOX_3-2599_S4-C2_1_5525	SA_BOX_5-2685_S1-B11_1_5793	SA_BOX_11-1946_S4-A4_1_6324	SA_BOX_9-848_S1-D11_1_6188	SA_BOX_5-2359_S1-G9_1_5782	SA_BOX_4-127_S5-F7_1_5667	SA_BOX_7-788_S4-G6_1_5953	SA_BOX_6-213_S2-H7_1_5865	SA_BOX_7-2684_S4-D2_1_5918	SA_BOX_3-2563_S4-H11_1_5603	SA_BOX_13-323_S1-C2_1_6506	SA_BOX_14-2612_S2-D9_1_6662	SA_BOX_8-385_S5-A1_1_6005	SA_BOX_8-139_S5-A2_1_6013	SA_BOX_14-953_S2-F1_1_6599	SA_BOX_5-785_S1-A8_1_5768	SA_BOX_5-2546_S1-D11_1_5795	SA_BOX_13-809_S1-G6_1_6542	SA_BOX_2-2051_S2-A2_1_6895	SA_BOX_14-664_S2-D11_1_6678	SA_BOX_3-1992_S4-B6_1_5556	SA_BOX_6-2654_S2-D3_1_5828	SA_BOX_5-2409_S1-F7_1_5765	SA_BOX_5-276_S1-B4_1_5736	SA_BOX_10-845_S2-A3_1_6218	SA_BOX_11-2065_S4-E9_1_6369	SA_BOX_1-2458_S1-C6_1_6831	SA_BOX_1-2471_S1-E11_1_6874	SA_BOX_14-757_S2-E1_1_6598	SA_BOX_13-763_S1-G8_1_6559	SA_BOX_14-1675_S2-E7_1_6647	SA_BOX_12-2139_S5-F6_1_6443	SA_BOX_2-2419_S2-C8_1_6946	SA_BOX_4-2527_S5-D5_1_5648	SA_BOX_11-2421_S4-B6_1_6341	SA_BOX_12-683_S5-A3_1_6414	SA_BOX_5-722_S1-A7_1_5760	SA_BOX_1-24_S1-H9_1_6861	SA_BOX_1-1993_S1-E6_1_6833	SA_BOX_7-2122_S4-B4_1_5932	SA_BOX_9-1012_S1-F5_1_6141	SA_BOX_3-2406_S4-C5_1_5549	SA_BOX_15-112_S4-A5_1_6724	SA_BOX_2-1186_S2-G10_1_6966	SA_BOX_11-693_S4-G7_1_6355	SA_BOX_8-2367_S5-C12_1_6096
P02671	FIBA_HUMAN	0.3213346421693344	19.386725348300775	19.23813188030179	0.27540560074126963	0.22941136294257705	0.14859346799898532	0.0026885350795554583	79	46	0.012770541627888429	1.8937906829233597	19.619033848190966	19.11962666789736	19.174090930846003	19.042306873228625	19.301006778821247	19.540636666090656	19.85627712650477	19.43735893885689	18.79215706483265	19.451426891512	19.464291767744385	19.253036152445247	19.46438288492491	19.10442410544769	19.51567294305517	19.20709703065021	19.53058755208628	19.26352670666075	19.56420629003324	19.827863207539465	18.817626927236034	19.41124844082495	19.244212623807883	19.09961489573657	19.10974107583422	19.34841888619297	19.29741811311166	19.439255733680497	19.57177617748315	19.27882194268174	19.23695898457964	19.083603936508872	19.52840328081176	19.29682816713265	19.303624938204315	19.28161445848988	18.93015127140431	19.48589711602722	19.351910032261834	19.05214273566968	19.514091145298742	19.440331168483752	19.60976410035805	19.5641464506574	19.24685220462559	19.328009771870992	19.151794468236982	19.676607971663305	19.04927739138059	19.48479026197191	19.6978623993606	19.54480163468848	19.24325861136832	19.47340954378552	19.662888119757163	19.384120760310097	19.41804732823677	19.336619154869723	19.27772310024424	18.044383412034044	19.44017832528872	18.811570557747046	19.3878126506938	19.27443276833343	19.582635182383136	19.17440341254863	19.326048470340737	19.30023897614501	19.125794663601063	19.370494461319083	19.106743986468004	19.01127353997549	19.08051275377146	19.16204750815293	19.428183342735178	19.475178027194623	19.50537451153797	19.28609569338324	19.529825489185985	19.169158410446727	19.204261500046616	19.33813188477381	19.125109533066283	19.7030449225255	19.43490345261828	19.026903845963	19.579121341942624	19.673426582384234	19.167410417776413	19.270038936893016	18.9420133006519	19.403440069833344	19.101775046318537	19.28978069021441	19.7660953323524	19.4783133370082	19.61679242585315	19.24336833586425	19.978487360302417	19.298793527780617	19.09358290053295	19.662502342111665	19.20638246335453	19.343457120715893	19.486812467313342	18.942639699199766	18.949340954045844	19.330046449222685	19.27608142520138	19.30930465306752	19.4814793324788	19.691598275749985	19.039937321652005	19.392441659451475	19.74389887687171	19.29933732758596	18.61371101157092	19.447071319967858	19.81907432895423	19.512472260921903	19.251683961663016	19.00102742902721	19.71817046311688	19.110573487468223	19.74646773872616
P02787	TRFE_HUMAN	0.15260175002474433	19.543405601221576	19.649504533717604	0.28979623697739715	0.3261421238964855	-0.1060989324960282	0.06404736440540387	79	46	0.10317442895094053	0.9864279261737521	19.63411996032679	19.90930601044597	19.977315456821817	19.748564000844983	19.45690310684839	19.226331386032285	19.5023686780256	19.585670058761607	18.96486741621266	19.457614517243275	19.507144439975168	19.741428304052747	18.84671412116441	19.74168523685933	19.262952440834503	19.461124256418245	19.491757772449	19.950607383242104	19.43437357640794	19.008569747601257	19.59860084418223	19.502443466178097	19.682576339796466	20.027599477864705	19.91730096347557	19.56554500462858	19.82289448654012	19.485291650379143	19.10631942946588	19.887574128135817	19.66440362935074	19.89798985312002	19.83942631328044	19.57055981309754	19.58865275718457	19.5463428627533	19.74807101308158	19.482458278585	19.550446746186275	19.84129519859009	19.36298217647286	19.529200956501885	19.290195983415448	19.50539976701726	19.89048600585087	19.55746806361269	19.707345424147167	19.384896097439	19.665534650378262	19.51126265634082	19.30236655793051	19.59101661507891	19.85843244691104	19.6227249555164	19.411256009092995	19.7062502523394	19.8871724472702	19.65011640760472	19.444040078027264	19.878682382114874	18.94940774314181	20.07811700646393	19.70305777008908	19.593067919065994	19.74229482776819	19.82378941902959	19.56704240023309	19.60855128937759	19.95110681401673	19.89606216536656	19.80327180748978	19.97844581580945	19.57195766255221	19.95283087101249	19.53149358678388	18.338284858428	19.42257677446404	19.79823972748897	19.64044069406	19.61408447555286	19.91841301471624	19.825177908967778	19.88410187707792	19.30181226738295	19.72197472356172	19.82157139950819	19.42991391685296	19.34921258870221	19.67678374567939	19.69515165089421	19.787906607970285	19.613985478578503	19.546990192234635	19.17575472448065	19.24846123123447	19.586738332385405	19.53288964429716	19.69879734638389	18.29751416885427	19.771163964109046	19.76384250019899	19.782386411548167	18.38305934968508	19.8107759099326	19.92678273125448	19.528559168389314	19.84303634680955	19.52043113921166	19.559787511584982	19.791694128214125	19.34673064167547	19.716868483793267	19.887333416837983	19.757856496072048	19.38085180760741	19.67525485069473	19.892545889034107	19.092604994648728	19.40429911344796	19.711186935129355	19.458223471780872	19.658916440002805	19.302914178444144	19.78490180915339	19.384928850790217
P08603	CFAH_HUMAN	0.05091956743329195	17.185088418426066	17.23802155276275	0.3646264833844697	0.32178193999070753	-0.05293313433668345	0.4194335863156995	79	46	0.41743628352372003	0.3794098047931202	17.186311454067265	17.284312602198188	17.39821447193967	16.896811660033404	17.688562311859346	17.09363983892321	17.421216836932715	16.609275334277633	16.88778295123431	16.528412212249314	17.13246311376907	17.24276035106077	16.449818317759384	16.74854758104089	16.860350773784543	16.851126896582024	17.065277653064243	17.545052737706825	17.561547101521494	17.548139173963165	16.911525574207435	17.30213238598354	17.470794000184615	17.272594216408137	17.212849778393103	17.008524877019234	17.27349986487959	17.34211766875215	17.018273274568703	17.078627651064313	17.600109674792453	17.382744008698417	17.092025870552146	17.555261662219042	17.427051716182998	16.956518716143023	17.71993468602317	17.132208075671173	17.41351874230338	17.726064518194644	17.276474940538876	17.281035186872526	17.339327406808692	16.703393364655064	17.11045523878963	17.02185645532394	17.62594743768426	17.077645399175083	16.490225454190597	17.402192519545586	16.728080281860162	17.52838258390398	17.121814936286953	16.995682481326106	17.07156093426313	17.31974970376594	17.417835529122815	17.123470460053532	17.341013963493705	17.4500168799999	17.065956103520698	17.06212910928635	17.590905297724998	17.154737636760128	17.67508067721478	17.31280725678285	16.792263973950828	17.195514222890875	17.34792393104349	16.530890896175528	17.87788375030444	17.30984660853284	17.15955123298435	17.48832575672473	17.164555832437664	17.17211363546129	17.0801855785994	16.977105585504965	16.53957936221221	17.257829583814395	17.50041945068542	17.342920760180093	16.861782879885826	16.17283339298556	17.739964330327012	17.81828423647568	17.38880708235525	17.289002289867472	17.510368899554653	17.063319026642375	17.22911617690381	17.495007389597838	18.322408119908552	17.176433257423927	17.324448280120915	17.81219825712087	17.245627144554266	17.11925630724425	16.64566153015828	17.481247602735635	17.49819864392603	17.477720832292125	17.34735776950422	17.55220183358231	16.957794490138326	16.920887975660243	16.795528819484108	17.052690865455695	17.229654676509774	16.039574462587343	17.27780507363689	17.01691595878781	17.340427941453868	17.669608268455463	17.418883907172148	17.598814367521474	16.608375549780707	17.070217108406798	17.69054809413057	17.118024341424096	17.08957487841936	16.85070125765854	17.08614479444539	16.929791006251982	17.317079625537037
P00450	CERU_HUMAN	0.048625043137316915	17.443134661903354	17.385142701209446	0.42832240841663904	0.369861792120132	0.057991960693907885	0.4483353812951263	79	46	0.4422392156282576	0.35434274892190176	17.053942982673252	17.966018541410225	17.34773962135744	17.24453415409635	17.884335052169728	16.916268926621747	17.708998506467463	18.41712403508028	17.03924223108101	17.125992058226302	17.52767094750278	17.19542782652149	17.013929100376913	17.33452856854058	18.16135360872262	17.154179001767552	17.461191338408383	17.991872886075903	17.3446170254356	17.711718712909608	17.083015218639037	16.932469040310547	17.340400940809367	17.618915786492416	17.312044950762782	17.41887811482634	17.329309930810762	17.54538555649596	17.168471933124472	17.365982948536224	17.44878560892401	18.42688956815253	17.258983783549656	17.513239733080027	16.67644275974025	17.181806296978664	17.41425671653319	17.629003766047745	17.539704141527277	17.709856886872984	18.15499771661408	17.228291268642586	17.580932391568563	16.70837473685679	17.81655120655643	17.499963175390477	17.428366754572533	17.54136676158116	16.666789373285056	17.531096658632713	17.30415831988152	17.756042641405823	17.430101715113437	17.200523490034897	17.33477349581507	16.944226020908243	17.01228964599674	16.846021802367083	16.822295244720962	18.465812123272386	16.891648225115013	16.83707430709997	17.723500903700668	16.81481858005313	18.190131167986067	17.609621680661597	17.3169534829289	17.59215896627289	16.987999077791656	17.43574637199371	17.84301698168712	17.73898546621143	17.471026706258627	17.71880168898526	17.27680596959521	17.820471679786756	16.990622995120905	16.863440824395894	17.274950616282286	17.520144739538896	17.169548037618323	17.41974095941506	17.386014438070447	17.336683988921536	17.532141311024613	17.266693522918132	17.876530315679407	17.368098078745664	17.544732585208465	17.951713511079014	18.130564562179167	17.477052678359495	18.582235063662843	17.488440585826638	17.865717674610508	17.96405631762616	16.890517602545117	17.501192799877828	16.836319763658103	17.128996771843678	17.80294831004139	18.165361354116847	17.47667867209231	16.64285782947394	17.410476338208696	17.154371446906723	16.54672623018826	17.017975853480515	17.05201391486324	17.278417344318772	17.08519701963163	17.6167443600411	17.967507161035623	17.513302272023527	17.55046085424198	17.279327527234233	16.732793644996985	17.42764431390319	17.82456336429189	17.081502140232246	17.6452736585233	17.109542802402085	17.717131733114876	17.86094399682698	17.34202605259687
P06396	GELS_HUMAN	0.3615938405532564	14.884026089453068	15.183963987673033	0.5141273073291253	0.4718886217902837	-0.29993789821996586	0.0016670517405308815	79	46	0.00916878457291985	2.037688231206643	14.765357676971044	14.574106092451148	15.567110164460296	15.753013481166068	14.97125743754948	14.772271536008873	14.482137596715305	14.26889580209354	13.726973036308715	14.513111272323558	14.48655348780201	15.161738084761138	14.209465573618406	15.301915159706867	13.44994660480235	15.373372008348808	14.557963126785358	15.860736884767912	15.33913088320179	14.05787170743734	15.43312568411341	14.5998677886068	15.82875693207803	15.438007076157763	15.53633017601772	14.771264680058565	16.024760689467257	14.980296971003453	13.851728746503422	15.357675260161328	15.58734967769179	15.279357143401215	15.259798010753276	15.32714051391284	14.65033578648841	14.696093198048157	14.774787182892949	14.991133970264078	14.762298727591576	15.010861930146698	15.329978164028487	15.249534441166103	14.761153757759828	14.8943918781106	14.717198097720962	14.922112823618336	15.362944159314797	13.88995866628005	14.355214936534292	15.10702958265787	14.165742569096247	15.214249438635411	15.769985094203246	15.082798695380276	14.436762422286678	15.269118780220143	15.436536650361887	15.232987878335152	14.12710231682889	14.55885691071467	14.21884434067956	15.822892025449546	15.519352433755328	14.468326225100606	15.06511614712148	15.515042605903274	14.994474722684377	15.540841879298371	15.389895455380035	15.058537585526349	15.586761372326531	15.14730598309867	15.283586542640634	15.631893824689364	15.01069523060078	13.894072693952904	15.311740704384126	14.674681052119114	14.839836433858808	15.394751741333703	15.233308559614942	15.704537465261758	15.575976792223404	15.009172597114128	15.76911830615249	15.861895893694369	14.52850545375807	14.95473693074976	15.779193146208277	15.054865831201129	14.56914385365985	14.636384545635808	15.062131997990258	14.508943654769324	14.770417064351893	14.982938120085052	14.887598324780658	15.096035660949171	14.230536036625692	15.698270250976924	15.458975584562424	14.803833807352763	14.505942917635934	15.921336766197523	14.408878006802595	15.312816308297194	14.821210577627166	14.705976946216351	14.829420536523347	14.548400162975051	14.696769816243457	15.487242519065296	15.178366459426073	15.073856760967008	15.058629011854451	15.425549331456985	15.82480154251811	14.591192441494918	14.921965893350473	14.69805592549763	14.738468618229277	15.439959031241614	14.338579250124514	15.363619387620028	14.626642384872747
P04275	VWF_HUMAN	0.8218261009898656	14.453201661621419	13.823283413898613	0.5973949657200093	0.6837883730048095	0.6299182477228058	4.266000891051231e-07	79	46	2.971980620765691e-05	4.526954026782917	13.763053955105272	13.070936766321738	13.041178847196267	13.1832364479392	13.973948849024492	14.782198289551529	14.87820020412726	14.50539597668004	13.573716927598486	13.647209093675649	12.733551558795623	12.960340967185145	14.589127050066002	13.870025513773149	14.611741613178522	14.206510816113177	14.17400981268353	14.62092017059833	15.133700366681056	14.57981041938694	13.085772467908257	14.21110532260609	14.586674002486978	14.408036500906835	13.952208184806413	13.749436994175808	14.552478651211771	14.16233099955384	14.102311168657767	14.689950250839976	13.411861913272665	15.288605555386514	13.831182428652715	13.855754085065064	13.249323947939336	14.476308577347428	14.357012526520782	14.225470666123238	15.546158926307095	14.697653975373097	14.439480047510967	14.602300417003068	13.87761760323026	14.678928820210263	13.865823682349944	14.34855050922648	14.669731464275245	14.508597613291515	13.68418084419504	14.449150345752196	15.051749343645854	15.351266507312282	14.429430561941157	13.245982814578404	13.755894124585884	14.31926264359438	13.53143272557515	14.087721833650209	13.319351728469684	14.96325587399321	15.172064845186911	13.668520545571708	14.598108337054006	14.079438645412198	15.42883992889696	15.033892333059924	13.720212821476151	14.490419865347798	14.713814946328446	13.509738140034624	14.868826428120812	14.05217494071094	14.73009459707974	13.445611471600069	14.104263521175609	14.383075931278965	13.354331282840723	12.989351177970237	15.369563008040792	15.00195019683443	14.705532271159484	13.807895583880486	14.48536152354051	15.147754857852458	14.962958032205345	14.32702582728786	14.520577641850858	14.574965274261851	14.898830019832932	13.3963181403735	13.624312894719514	14.677665559559278	14.807892262659808	13.454212293955669	14.09721122622743	13.957910047023914	13.793694381851402	14.27659845284638	14.194844584202071	15.744879260879747	14.622238421289756	14.551778164173106	14.445192842814375	14.387736914557347	14.250530633681858	13.1585251229297	13.204633725966088	14.215410900763413	14.010502309811663	13.98522183925988	13.86986087719535	14.266699521193212	14.047789101644742	14.300917212400176	14.817903862033036	13.37149495262666	12.27332847510435	14.902626685987288	16.5493683407339	14.72611188268539	14.820054332530734	13.031515356964912	14.86986257912084	12.498906111616586	14.806864744937982
P10643	CO7_HUMAN	0.44924399707287244	14.905283251450829	14.546500797244226	0.5269183481744631	0.5099924585546768	0.3587824542066027	0.0003413567276262289	79	46	0.0029726481697450765	2.526856489039323	14.264381965696591	14.144409448705	14.363713610439191	14.950075389053982	15.392815030336289	14.319342797454109	14.605117423620978	14.927057138405274	14.228671514875431	13.975020130046437	13.89210932001769	14.496257521356672	14.607149041054203	14.462398205423872	13.651230880889448	13.90972430033661	14.690468776032803	15.771303866244308	14.875923902982263	14.944354530156742	14.182887276466214	14.556241739777583	15.161305061992682	15.551067655896516	14.321070359278206	14.503309907696616	14.724461736071648	15.151776414350511	13.847653786036345	15.284258079911588	14.274703366486737	16.549410554772923	15.528033584743268	14.531381105551704	14.215685887675816	14.461593150058272	15.266782599905625	14.944126780828316	15.253614321215672	15.614112134460498	15.509977451146842	14.731240462480503	14.157074978373336	14.584246317391338	14.870753185216596	14.55261072461895	14.724623275810313	14.697141451102368	15.129488923043816	15.106776339491145	14.98582826025008	14.608045707848808	14.973646615057364	14.218796988315503	14.817795507746489	14.619321694876998	14.79836824049803	14.32146958916388	14.228804169917415	15.008772708673025	14.815960885347147	14.639828976077045	14.91919927629096	14.41665036701582	15.76685554995598	15.101021509932744	14.787188466331097	15.106407477053082	14.486529561809862	14.61832440388619	15.031295099412915	14.891778409611844	14.840646042589968	14.130311099759853	14.901084722208331	14.939954189522515	14.372414273636714	13.929471086438756	14.46925442158443	15.385407503783323	14.725250066532016	14.332535423306288	14.93771314492886	15.646840476645588	15.485490161165538	14.768093543585907	15.02231352296206	15.596686163834448	15.428809689482163	14.080930832300533	14.197395317026348	15.459839863926906	14.927771289629414	14.960846905252614	15.255555598161042	15.443728021956838	13.731212557356953	14.887274765646078	14.726899900758806	16.188495151256056	15.2365596535751	15.765556883916176	15.3451083783461	14.871790309425178	14.93220111227365	13.24356737875894	14.621928205862003	14.563161123414377	14.303608391985136	14.452377523846383	15.06297757109589	14.663825512566143	15.505587813672218	15.064685999364867	14.676026469003098	14.114070235184968	13.904868976764927	14.765224064696858	14.836193002663071	14.926256492627571	15.474238272857107	14.166805295617584	14.924977049736327	13.406298299995584	15.435470915310049
P01023	A2MG_HUMAN	0.24423413728444537	19.093052514378968	18.90694237255217	0.39206264410645253	0.39690282284934486	0.18611014182679853	0.012758887724849479	79	46	0.03505874499243123	1.4552036345233783	18.990101495854	19.21270372289424	18.81246566910239	18.93639658361841	19.05912140695061	18.508008095935885	18.644626625205188	18.75218203054216	18.42884984109629	18.819879635883524	19.13062715414076	19.13336499308736	19.05504822055489	19.45867559694721	18.70657441988382	18.40517746881421	18.640269473473754	19.81677117331237	19.18989059837065	18.49286551557373	18.825741342365745	18.21993937335317	19.42327574895293	19.08867207393944	19.131968864613224	18.65038782025608	19.09494320132337	19.436726936364582	18.781189720388927	19.321104190921087	18.855355334836062	19.908280650641995	19.07896919181521	19.30362320385345	19.40482521262152	19.30126592204255	18.711325092451613	18.659620632824108	19.482905237593044	18.96532327321397	19.590419554192486	19.02975290705766	18.242446632756685	19.09757435396636	18.52155282188937	19.391136674078947	19.58893409617816	19.009835320273115	18.88158003986701	19.17796995528972	19.01894542108826	19.05182171184869	19.45270661507986	18.65562517027252	19.16329364061681	18.892200631596253	19.461373101436923	18.48253330612808	18.136418049097	19.48321488779304	19.28196610619335	19.103264113316182	18.862813177464925	19.08384550663287	19.221899038092488	19.405263137859425	18.78494061664932	19.73371137474137	18.17395703132497	19.072992247237444	19.733857158174818	19.492066926610374	19.225477810910707	19.021390246464502	19.13758959570134	19.206000960443728	19.076917589752416	18.419214924057417	18.988592756991896	19.257702147617216	18.81920707188293	19.19243041648042	19.45258586425186	19.08693709591439	19.70483383964534	18.195905894617304	19.448813309621222	19.386683650842183	19.017933756220625	18.65921105917453	18.933653326155568	18.70532052983064	18.431753237878542	18.75016228825449	18.946927968846	19.03502227807313	18.22869129227226	19.767678975149497	18.041050331782422	19.36602865510301	19.41348998355885	19.710130216270816	18.569346941398944	19.57959974568202	18.527269956321188	18.53277723245163	18.55567838696332	18.91671136145085	18.82107821511421	19.01022482560301	18.67311053904518	18.99250743493917	19.49522748343133	19.7243693982825	18.934941074605376	18.585998510482344	19.06543934149264	18.749065217085736	19.174033991602688	19.5050738003627	19.45533019452112	19.5101194185478	19.19041222875652	18.93696108820252	18.818930242812066
P00738	HPT_HUMAN	0.1910105843075587	19.339250506978143	19.114020880325707	0.5184297720442008	0.6896170531982467	0.2252296266524354	0.042360136764521786	79	46	0.08061277371359889	1.093596135443297	19.69030959909237	19.036942825133025	19.56072598603965	19.389397441033346	19.28570998464277	19.305977531954703	19.713601329523897	19.90242703402029	19.98697563887764	19.69653847302275	19.54292994766157	19.3618546331658	19.685104513573584	19.0653954718607	17.838924762961476	19.608237675498906	20.073063485870488	18.732115702622785	19.77403537316211	19.838550974060546	19.30730398098474	19.555321450970048	18.518666594305703	18.229574260293163	19.33573118317208	19.68648559157146	18.978328190134818	19.24749260593488	19.86267532425236	19.04545467256262	19.465842654762884	17.972611138247146	19.16568985298724	19.36591942799507	18.97457322103729	19.479077027761573	19.00137630236452	19.62473251147372	19.263871742362927	19.052229425333383	19.29416490960853	19.447202498679136	19.991117620411654	19.37386930341595	19.48913849518308	19.16553535499889	19.17596736060342	19.91501629096729	18.72856057809292	19.633394877028984	19.867056277530764	19.667673832060483	18.85604451475468	19.54608114437613	19.08982029355568	19.607241609425667	17.087592029528544	19.57059741384205	19.42247620043283	18.115459473531363	19.8612032045582	16.99667379696479	19.438009853632867	19.39823692830524	19.779666858945536	19.212868039474863	19.607516596385725	18.81056959217773	17.49594494452933	17.225516627820443	18.453819002679506	19.340432299888658	19.708690323143102	19.08807453281082	19.723726714389084	19.60409609005386	19.71782396665158	19.7430269220416	19.83006592985156	19.34368600163924	19.4787799813217	19.60550456937061	18.607493382593383	19.856450658077097	19.432818031956803	19.67822130335704	19.6719881702896	19.37849238562051	19.26200056811285	19.26591122377044	18.84259760886836	18.821455213390564	19.00974402850009	19.698990255090344	19.66253919885229	19.72269679986928	19.74277598153885	17.878589024154472	19.972266318237324	19.47679944872341	19.16666888074692	19.10204113913249	19.13188878998795	18.846450687102365	19.4518179702417	19.49207845383328	19.35268018182089	19.17903848674753	19.6645900609184	18.739934075077294	19.56818577198541	18.6108149500105	19.032761318487168	18.267444125543	19.624567317794632	19.315173543578982	18.686165781434823	20.01389170133224	19.83781944275576	19.69328847268928	19.13506817580268	18.31418226655008	19.588121743112907	18.7279802788254	19.791548932791045
P08697	A2AP_HUMAN	0.15634024138889993	14.852393774393162	14.972895678004235	0.36577317900033673	0.2952985122935834	-0.12050190361107305	0.06150365815510825	79	46	0.10121468153084745	0.9947564870478738	14.561249726881792	14.81697205538674	14.888177183743444	14.908894760715768	15.1287706296551	15.176851931202158	15.185741026238864	14.807539701588594	14.54241624331388	14.36582675008041	15.065884415135171	14.8218715725138	14.582295083306922	14.410717950685328	14.856656642839972	14.536036107283048	15.215866215282505	14.87708309562452	15.670299836715222	15.752979537365205	14.60742916683286	14.96062562546617	15.043188757179609	14.531325538434906	15.087789321088096	14.608844911548282	14.56713344388048	14.728189302229303	14.83898452657784	15.031715971550648	15.085633554564293	14.841130346179073	15.189162523447648	14.632117330174134	14.538571332236314	14.385005546950016	15.639604418176974	15.22448207652066	14.675822862392458	14.934423802971258	14.97369952247649	14.699097997058193	15.367709113147445	14.724399039451756	15.244620310274218	14.613353229063632	15.079439074264243	14.851201970722771	14.412217339332614	15.00617307109807	14.98511740229362	15.351313022299577	15.157484762087094	14.930217834405378	14.59875120117033	14.41140784100988	14.781163237876036	14.96984386431946	14.895572723265245	15.07596950976706	14.828295468360936	14.65015242973311	15.26990726961898	14.730251529473524	15.338765967361685	14.981977306409886	14.383815579413683	14.14354523331653	14.789918528262987	14.4973740074425	14.938160355583198	14.930242537502613	13.479222021638977	15.25619076762411	15.111396407920722	15.537319727158923	14.598940523499731	14.775401805727338	14.750474755743758	15.12657694673255	14.967919631075269	15.270402685144822	14.667704372947886	15.532188953635478	14.667561189549534	15.697710955355998	14.817173929910227	14.967722742816116	15.316901167698418	15.122464454280028	14.94675448841394	14.446611408745776	15.401697098268164	14.9253263621592	15.13278423938644	15.381874077723923	14.91655185560698	14.547967998666506	14.8377758317385	15.404698539209114	14.336037280113898	15.01685209398361	14.872417852000188	14.527965966845336	14.862900668078654	14.702089958986925	15.04995305253488	14.591845951478604	14.621390113455918	14.592330409031582	14.566367393231262	15.21999827123323	14.604128566314431	14.764789508765308	15.154176013914086	15.24982265092155	15.181507473295143	15.163281621083158	14.578602092473291	14.50237508301058	15.35344352489487	14.878057200984989	14.69547535389142	15.209961951958483	15.25675527257238
